"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Active outdoor pursuits","general term","016844260","Monograph","Language material ; Text","Online resource","GBB4D2371","9781849655071","Turnbull, Ronald","1951-","person","author","Turnbull, Ronald, 1951-, author [person]","Walking Loch Lomond and the Trossachs","Walking Loch Lomond and the Trossachs : 74 routes in the national park","","","England","Milnthorpe, Cumbria","Cicerone","2012","First edition 2009","1 online resource, colour illustrations, colour maps","914.142","ELD.DS.5024","Guidebook","English","'A Cicerone guide.' ; Originally published: 2009"
"Administration of estates--Scotland--Cairngorms","general term","007692493","Monograph","Language material ; Text","Volume","GBA405364","","","","","","Cairngorms National Park Authority [organisation]","Cairngorms estates : a fourth survey of land holdings in the Cairngorms area","","","","Scotland","Grantown-on-Spey","Cairngorms National Park Authority","2003","","15 pages, illustrations, 1 map, 30 cm","","","","English","Cover title"
"Aerial photography in archaeology--England--Dartmoor","general term","010116545","Monograph","Language material ; Text","Volume","GB8852591","9780861147540","Greeves, Tom","1949-","person","","Greeves, Tom, 1949- [person] ; Dartmoor National Park Authority [organisation]","The Archaeology of Dartmoor from the air","","","","England","Exeter","Dartmoor National Park ; Devon","1985","","1 volume, illustrations, 25 cm","936.2353","YK.1988.b.5985","","English",""
"Aerial photography in archaeology--England--Dartmoor","general term","011029957","Monograph","Language material ; Text","Volume","","9780861147540","Greeves, Tom","","person","","Dartmoor National Park Authority [organisation] ; Greeves, Tom [person]","The archaeology of Dartmoor from the air","","","","England","Exeter","Devon","1985","","","942.353","85/14142","","English",""
"Aerial photography in archaeology--England--South Downs National Park","general term","018061934","Monograph","Language material ; Text","Online resource","GBB6K8531","","Carpenter, Edward","","person","author","Historic England, publisher [organisation] ; Small, Fiona, author [person] ; Carpenter, Edward, author [person] ; Truscoe, Krystyna, author [person] ; Royall, Carolyn, author [person]","South Downs National Park, West Sussex, Chichester and east Hampshire : the High Woods from above, national mapping programme","","Research report series","14-2016 [Research report series]","England","Portsmouth","Historic England","2016","","1 online resource (161 pages), illustrations (black and white and colour), 2 maps (black and white and colour)","942.26","ELD.DS.94673","","English","'Discovery, Innovation and Science in the Historic Environment - Investigation and Analysis'--Cover"
"Aggregates (Building materials)--England--Periodicals","general term","008567578","Serial","Language material ; Text","Volume","GBA550089","","Great Britain, Yorkshire and the Humber Region Aggregates Working Party","","organisation","","Great Britain, Yorkshire and the Humber Region Aggregates Working Party [organisation]","Annual report, aggregates monitoring","Aggregates monitoring ; Annual report .../ aggregates monitoring","","","England","Leyburn","Yorkshire Dales National Park Authority","1997-2006","","volumes, maps, 30 cm","338.276209424","1499.905000 ; ZK.9.b.21980","Periodical","English","Description based on: 2002 issue"
"Agricultural economics","general term","009135164","Monograph","Language material ; Text","Online resource","","","Harris, Paul Charles","","person","","Harris, Paul Charles [person]","The impact of agricultural investment in less favoured ares : a case study of the Snowdonia National Park","","","","","","University College of Wales","1988","","","307.12 ; 338.1 ; 577","292587","","English",""
"Agricultural economics","general term","009784803","Monograph","Language material ; Text","Online resource","","","Walsh, Katharine Mary","","person","","Walsh, Katharine Mary [person]","The survival of hill farming in the Lake District National Park : a sociological approach","","","","","","University of Essex","1991","","","301 ; 338.1 ; 361 ; 910","302795","","English",""
"Agricultural engineering","general term","012346454","Monograph","Language material ; Text","Volume","","","","","","","Lake District National Park Authority [organisation]","National Parks - environmentally favoured areas? : A proposal for a new agricultural policy to achieve the aims of National Park designation","","","","England","Kendal","Lake District National Park","1988","","","333.7 ; 630 ; 632 ; 635","88/24232","","English",""
"Agricultural industries","general term","009135164","Monograph","Language material ; Text","Online resource","","","Harris, Paul Charles","","person","","Harris, Paul Charles [person]","The impact of agricultural investment in less favoured ares : a case study of the Snowdonia National Park","","","","","","University College of Wales","1988","","","307.12 ; 338.1 ; 577","292587","","English",""
"Agricultural industries","general term","009784803","Monograph","Language material ; Text","Online resource","","","Walsh, Katharine Mary","","person","","Walsh, Katharine Mary [person]","The survival of hill farming in the Lake District National Park : a sociological approach","","","","","","University of Essex","1991","","","301 ; 338.1 ; 361 ; 910","302795","","English",""
"Agriculture","general term","011704619","Monograph","Language material ; Text","Online resource","","","Reynolds, Shelagh Lindsay","","person","","Reynolds, Shelagh Lindsay [person]","Agriculture, landscape change and planning in the Lake District National Park since 1945","","","","","","University of Lancaster","1988","","","307.12 ; 630","360460","","English",""
"Agriculture","general term","018810189","Monograph","Cartographic image ; Cartographic material ; Text","Sheet","","","Great Britain, Agricultural Development and Advisory Service","","organisation","cartographer","Great Britain, Agricultural Development and Advisory Service, cartographer [organisation]","Hills and uplands classification [Great Britain]","","","","England","","Ministry of Agriculture, Fisheries & Food","1989","","maps, colour, 61 x 112 cm","912.42","Maps X.10721","Map","English","Relief shown by contours and spot heights ; Sheets at various scales"
"Agriculture, plant and veterinary sciences, general","general term","011704619","Monograph","Language material ; Text","Online resource","","","Reynolds, Shelagh Lindsay","","person","","Reynolds, Shelagh Lindsay [person]","Agriculture, landscape change and planning in the Lake District National Park since 1945","","","","","","University of Lancaster","1988","","","307.12 ; 630","360460","","English",""
"Agriculture--Economic aspects--England","general term","011604122","Monograph","Language material ; Text","Volume","GB7624954","9780901165589","Davies, E. T. (Elvet Talfryn)","1924-","person","","Davies, E. T. (Elvet Talfryn), 1924- [person]","The Dartmoor and Exmoor National Parks : changes in farming structure, 1952-1972","","Reports / University of Exeter. Agricultural Economics Unit","number 197 [Reports / University of Exeter. Agricultural Economics Unit]","England","Exeter","University of Exeter, Agricultural Economics Unit","1976","","iii, 33 pages, 30 cm","338.109423","","","English",""
"Agriculture--Economic aspects--England--Northumberland National Park","general term","010553603","Monograph","Language material ; Text","Volume","GB8129619","","","","","","","Agriculture in the Northumberland National Park","","Working paper / Northumberland National Park","1 [Working paper / Northumberland National Park]","England","National Park Officer, Bede House, All Saints Centre, Newcastle upon Tyne ; Newcastle upon Tyne","Northumberland National Park & Countryside Committee","1975","","24, xii, 4 pages of plates, illustrations, maps, 30 cm","338.1094288","BS.116/175. [no.1]","","English",""
"Agriculture--Environmental aspects--Scotland","general term","015852623","Monograph","Language material ; Text","Volume","GBB241681","","","","","","Saos (Cooperative) [organisation] ; Cairngorms National Park Authority [organisation]","Climate change and Scottish agriculture : farmers' guide: reducing greenhouse gas emissions from farms","","","","Scotland","Grantown-on-Spey","Cairngorms National Park","2011","","18 pages, colour illustrations, 22 cm","363.7387409411","YK.2012.a.12432","","English","Title from front page"
"Agronomy","general term","012346454","Monograph","Language material ; Text","Volume","","","","","","","Lake District National Park Authority [organisation]","National Parks - environmentally favoured areas? : A proposal for a new agricultural policy to achieve the aims of National Park designation","","","","England","Kendal","Lake District National Park","1988","","","333.7 ; 630 ; 632 ; 635","88/24232","","English",""
"Air pilots, Military--Australia--Fiction","general term","007719570","Monograph","Language material ; Text","Volume","GB97Y6583","9780749321628","Saxton, Judith","1936-","person","","Saxton, Judith, 1936- [person]","Still waters","","","","England","London","Mandarin","1997","","503 pages, 18 cm","823.914","H.2005/3058","Fiction ; Romance fiction","English","Originally published: London : Heinemann, 1996"
"Air pilots, Military--Australia--Fiction","general term","012627401","Monograph","Language material ; Text","Volume","GB96Y2618","9780434003303","Saxton, Judith","1936-","person","","Saxton, Judith, 1936- [person]","Still waters","","","","England","London","Heinemann","1996","","400 pages, 24 cm","823.914","Nov.1997/231","Romance fiction","English",""
"Aircraft accidents--Wales, South","general term","007706963","Monograph","Language material ; Text","Volume","GB9494707","","Roberts, W. J. L.","","person","","Roberts, W. J. L. [person] ; Brecon Beacons National Park Authority [organisation]","Aircraft crashes in the National Park : identification guide","","","","Wales","Brecon","Brecon Beacons National Park","1993","","16 pages, illustrations, map, 21 cm","","","","English","Text on covers"
"Aircraft accidents--Wales--Brecon Beacons National Park","general term","015745945","Monograph","Language material ; Text","Volume","GBB205377","9781905795680","Hill, Barry","1945-","person","","Hill, Barry, 1945- [person]","Aircraft crash sites in the Brecon Beacons : a walkers guide with maps and photographs","","","","England","Malvern","Aspect Design","2010","","122 pages, illustrations, maps, 21 cm","363.1246509429","YK.2011.a.37170","Guidebook ; Pictorial work","English","Includes index"
"Aircraft accidents--Wales--Brecon Beacons National Park","general term","016085239","Monograph","Language material ; Text","Volume","GBB246483","9781905795796","Hill, Barry","","person","","Hill, Barry [person]","Aircraft crash sites in the Brecon Beacons : a walker's guide with maps and photographs","","","","Wales","","Barry Hill","2010","","122 pages, illustrations, maps, 21 cm","","","Guidebook","English",""
"Aircraft accidents--Wales--Brecon Region","general term","008368173","Monograph","Language material ; Text","Volume","GB9689120","","","","","","Brecon Beacons National Park Authority [organisation]","Aircraft crash sites and the stories behind them","","","","Wales","Brecon","Brecon Beacons National Park","1996","","24 pages, illustrations, maps, 21 cm","","","Guidebook","English","folded front cover"
"Aircraft accidents--Wales--Brecon Region","general term","013006644","Monograph","Language material ; Text","Volume","GBA471362","","","","","","Brecon Beacons National Park Authority [organisation]","Aircraft crash sites and the stories behind them","","","","Wales","Brecon","Brecon Beacons National Park","1996","","24 pages, illustrations, maps, 21 cm","","","Guidebook","English","folded front cover"
"All terrain cycling--Black Mountains (Wales and England)--Guidebooks","general term","009066490","Monograph","Language material ; Text","Volume","GB99Z5112","9781871890242","Cotton, Nick","","person","","Cotton, Nick [person]","The Brecon Beacons National Park and the Black Mountains","","","","England","Leicester","Cordee","1999","","68 pages, illustrations (some colour), map, 20 cm","796.630942956","","Guidebook","English","folded maps as insert"
"All terrain cycling--Wales--Brecon Beacons National Park--Guidebooks","general term","009066490","Monograph","Language material ; Text","Volume","GB99Z5112","9781871890242","Cotton, Nick","","person","","Cotton, Nick [person]","The Brecon Beacons National Park and the Black Mountains","","","","England","Leicester","Cordee","1999","","68 pages, illustrations (some colour), map, 20 cm","796.630942956","","Guidebook","English","folded maps as insert"
"All terrain cycling--Wales--Brecon Beacons National Park--Guidebooks","general term","013319911","Monograph","Language material ; Text","Volume","GBA589726","9780905293134","","","","","Brecon Beacons National Park Authority [organisation]","Mountainbiking in the Brecon Beacons : sixteen routes in the Brecon Beacons National Park = Beicio mynydd ym Mannau Brycheiniog : un-ar-bymtheg o deithiau ym Mharc Cenedlaethol Bannau Brycheiniog","Beicio mynydd ym Mannau Brycheiniog : un-ar-bymtheg o deithiau ym Mharc Cenedlaethol Bannau Brycheiniog","","","Wales","Brecon","Brecon Beacons National Park","2004","","15 pages, illustrations, 21 cm + 16 maps","","","Guidebook","English ; Welsh","Teitl clawr = Cover title"
"Ancylidae--Wales--Llyn Tegid","general term","008377378","Monograph","Language material ; Text","Volume","GB9962434","","Willing, M. J. (Martin John)","","person","","Snowdonia National Park [organisation] ; Holyoak, D. T. (David Thomas) [person] ; Willing, M. J. (Martin John) [person] ; Countryside Council for Wales [organisation]","Status and ecology of the glutinous snail Myxas glutinosa at Llyn Tegid : report to the Countryside Council for Wales","","CCW contract science report","number 338 [CCW contract science report]","Wales","Bangor","Countryside Council for Wales","1998","","14 leaves, map, 30 cm","","","","English","Ar dudalen hanner teitl: Parc Cenedlaethol Eryri = On half-title page: Snowdonia National Park ; Rhif cytundeb = Contract number FC 73-01-239"
"Ancylidae--Wales--Llyn Tegid","general term","012259431","Monograph","Language material ; Text","Volume","GBA025776","","Willing, M. J. (Martin John)","","person","","Snowdonia National Park [organisation] ; Holyoak, D. T. (David Thomas) [person] ; Willing, M. J. (Martin John) [person] ; Countryside Council for Wales [organisation]","Status and ecology of the glutinous snail Myxas glutinosa at Llyn Tegid : report to the Countryside Council for Wales","","CCW contract science report","number 338 [CCW contract science report]","Wales","Bangor","Countryside Council for Wales","1998","","14 leaves, map, 30 cm","","","","English","Ar dudalen hanner teitl: Parc Cenedlaethol Eryri = On half-title page: Snowdonia National Park ; Rhif cytundeb = Contract numberFC 73-01-239"
"Animal ecology--Wales--Brecon Beacons National Park","general term","010365135","Monograph","Language material ; Text","Volume","GB7902720","","Brecon Beacons National Park Committee","","organisation","","Stevens, Meg [person] ; Brecon Beacons National Park Committee [organisation]","Ydych chi wedi cwrdd â Mistar Pigog? = Have you met Spikey?","Have you met Spikey?","","","Wales","2a Lower Monks Street, Abergavenny, Gwent ; Abergavenny","Committee","1978","","16 pages, illustrations, 11 cm","591.5222","","","English ; Welsh","Parallel Welsh and English text"
"Animal industry--England--North Yorkshire","general term","012688410","Monograph","Language material ; Text","Volume","GB7716245","9780905455037","Yorkshire Dales National Park Committee","","organisation","","Yorkshire Dales National Park Committee [organisation]","Farming in the Yorkshire dales","","","","England","Leyburn ; Yorebridge House, Bainbridge, Leyburn, N Yorkshire","Committee","1977","","1, 20 pages, illustrations, 21 cm","338.1760094284","77/22838 ; BS.411/216","","English",""
"Animals--England--Dartmoor National Park","general term","017449227","Monograph","Language material ; Still image ; Text","Volume","GBB5E3685","9780905981833","Dartmoor National Park Authority","","organisation","author","Dartmoor National Park Authority, author [organisation]","Dartmoor essential nature guide","","","","England","Newton Abbot, Devon","Dartmoor National Park Authority","2015","","39 pages, chiefly colour illustrations, 21 cm","","YKL.2017.a.9911","","English",""
"Animals--England--New Forest National Park--Pictorial works","general term","018391290","Monograph","Language material ; Still image ; Text","Volume","GBB8J3892","9780956264312","Fear, Sally","","person","author ; photographer","Fear, Sally, author ; photographer [person]","Crown keepers of the New Forest","","","","England","Brockenhurst","Tile Barn Farm","2016","","191 pages, illustrations (black and white and colour), map (colour), 29 cm","639.9092242275","YC.2018.b.2784","Pictorial work","English","Limited edition of 2000"
"Animals--Scotland--Cairngorms National Park--Pictorial works","general term","019496816","Monograph","Language material ; Still image ; Text","Volume","GBB9D6005","9781912240807","Howard, Andy","","person","author ; photographer","Howard, Andy, author ; photographer [person]","The secret life of the Cairngorms","Cairngorms","","","Scotland","Inverness","Sandstone Press","2019","","volumes, 197 pages, chiefly colour illustrations, 25 cm","591.941240222","LC.31.a.25338","Pictorial work","English",""
"Antiquities, Prehistoric--England--Peak District National Park","general term","012252300","Monograph","Language material ; Text","Volume","GB7415727","9780903485111","Bramwell, Donald","","person","","Bramwell, Donald [person]","Archaeology in the Peak District : a guide to the region's prehistory","","","","England","Buxton ; Market Place, Hartington, Buxton, Derbyshire SK17 0AL","Moorland Publishing","1973","","87 pages, illustrations, maps, plans, 21 cm","936.251101","74/34533","","English","bibliography: p.82-84. _ Includes index"
"Antiquities, Prehistoric--England--Yorkshire Dales","general term","012983649","Monograph","Language material ; Text","Volume","GBA480788","9781903564257","","","","","Wilson, P. R. (Peter R.) [person] ; Yorkshire Archaeological Society [organisation] ; White, R. F. [person] ; Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation]","Archaeology and historic landscapes of the Yorkshire Dales","","Yorkshire Archaeological Society occasional paper","number 2 [Yorkshire Archaeological Society occasional paper]","England","Leeds","Yorkshire Archaeological Society","2004","","xii, 217 pages, illustrations, maps, 30 cm","942.84","9421.131500 ; YC.2006.b.488","","English",""
"Antiquities, Prehistoric--England--Yorkshire Dales--Congresses","general term","016024921","Monograph","Language material ; Text","Volume","GBB2B3280","9781906604356","","","","","People, Landscape & Cultural Environment Education and Research Centre [organisation] ; Yorkshire Dales Landscape Research Trust [organisation] ; Martlew, R. D. (Roger D.) [person]","Prehistory in the Yorkshire Dales : recent research and future prospects","","","","England","Kettlewell ; York","PLACE ; Yorkshire Dales Landscape Research Trust","2011","","vi, 72 pages, illustrations (some colour), maps (some colour), 30 cm","936.284","YC.2012.b.2115","Congress","English","'Papers and reports from a conference held in Grassington on October 31st, 2009, organised by PLACE, Yorkshire Dales Landscape Research Trust, Yorkshire Dales National Park Authority.'"
"Antiquities--England--Bellever","general term","015797807","Monograph","Language material ; Text","Volume","GBB1D8590","9780905981741","","","","","Dartmoor National Park Authority [organisation] ; Great Britain, Forestry Commission [organisation]","Bellever : an archaeological landscape","","","","England","Newton Abbot","Dartmoor National Park Authority","2011","","32 pages, colour illustrations, colour maps, 21 cm","942.353","YK.2011.a.39898","","English","Cover title"
"Antiquities--England--Dartmoor","general term","015797807","Monograph","Language material ; Text","Volume","GBB1D8590","9780905981741","","","","","Dartmoor National Park Authority [organisation] ; Great Britain, Forestry Commission [organisation]","Bellever : an archaeological landscape","","","","England","Newton Abbot","Dartmoor National Park Authority","2011","","32 pages, colour illustrations, colour maps, 21 cm","942.353","YK.2011.a.39898","","English","Cover title"
"Antiquities--England--Dartmoor","general term","016874921","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB4E9307","9780905981826","","","","","Dartmoor National Park Authority [organisation]","Whitehorse Hill : an early bronze age burial","","","","England","Newton Abbot, Devon","Dartmoor National Park Authority","2014","","32 pages, 4 unnumbered pages, colour illustrations, maps, 21 cm","936.235","YC.2015.a.12812","","English","Cover title"
"Aquatints--England--1790-1800","geographical term","003419612","Monograph","Language material ; Text","Volume","","","Smith, John","1749-1831","person","","Smith, John, 1749-1831 [person] ; Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","Twenty views of the Lake District","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire","1791-1795","","20 leaves of plates and four blank end-pages bound into a book, illustrations, 42 x 57 cm (oblong folio)","","1899.t.3","","English","The plates generally in good condition with some foxing"
"Aquatints--England--1790-1800","geographical term","017706485","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","BELLEISLE LODGE : On the great Island in Windermere, belonging to John Christian Curwen Esq.r to whom these Twenty Views of the Lakes in ; Cumberland &c. are most humbly inscribed, by his most obedient and much obliged Humble Ser.t John Smith","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R. Blamire, Strand, London","1791","","1 print, etching and aquatint, platemark 32.8 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017706895","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","WYBURN LAKE : at the Lower End","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R.d Blamire, Strand London","1791","","1 print, etching and aquatint, platemark 32.8 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017706903","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","ELTER WATER : in Langdale","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R.d Blamire, Strand London","1791","","1 print, etching and aquatint, platemark 32.6 x 46.6 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017706916","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","LODORE WATER-FALL","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","March ; R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 32.8 x 47.0 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017706973","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, F.","","person","artist ; printmaker","Merigot, F., artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","CONISTON LAKE : and Village","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand London","1792","","1 print, etching and aquatint, platemark 32.8 x 46.7 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Aquatints--England--1790-1800","geographical term","017706999","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Merigot, James","","person","artist ; printmaker","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","PATERDALE GRANGE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire, Strand, London","1792","","1 print, etching and aquatint, platemark 33.0 x 47.0 cm","","1899.t.3","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
