"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Abraham, Rudolf","","person","author","Abraham, Rudolf, author [person]","016844137","Monograph","Language material ; Text","Online resource","GBB511205","9781849657792","St Oswald's Way and St Cuthbert's Way : long-distance trails in Northumberland and the Borders","","A Cicerone guide","","England","Milnthorpe, Cumbria","Cicerone","2013","First edition 2013","1 online resource (186 pages), colour illustrations, colour maps","796.51094137","ELD.DS.4901","Saint Oswald's Way (England)--Guidebooks ; Trails--England--Saint Oswald's Way--Guidebooks ; Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Walking--England--Saint Oswald's Way--Guidebooks ; Walking--Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Trails--Saint Cuthbert's Way (England and Scotland)--Guidebooks","Guidebook","English",""
"Abraham, Rudolf","","person","author","Abraham, Rudolf, author [person]","018105516","Monograph","Language material ; Text","Online resource","GBC183439","9781783623693","St Oswald's Way and St Cuthbert's Way : long-distance trails in Northumberland and the Borders","","","","United Kingdom","Milnthorpe","Cicerone","2016","Second revised edition","1 online resource (192 pages)","796.51094137","ELD.DS.99349","Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Hiking--Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Saint Oswald's Way (England)--Guidebooks ; Hiking--England--Saint Oswald's Way--Guidebooks","Guidebook","English",""
"Acid Deposition in Gwynedd (Conference), Maentwrog, Wales","1989","meeting/conference","","Snowdonia National Park [organisation] ; Gritten, R. H. [person] ; Acid Deposition in Gwynedd (Conference), Maentwrog, Wales, 1989 [meeting/conference]","007697799","Monograph","Language material ; Text","Volume","GB9208449","","Proceedings of Acid Deposition in Gwynedd conference","","","","Wales","Penrhyndeudraeth","Snowdonia National Park Authority","1991","","219 pages, illustrations, maps, 30 cm","","","Acid deposition--Wales--Gwynedd ; Acid rain--Wales--Gwynedd--Environmental aspects","","English ; Welsh","Conference held at Plas Tan-y-bwlch, Maentwrog, 16th-18th March, 1989"
"Adventa (Program)","","organisation","","Adventa (Program) [organisation] ; Brecon Beacons National Park Authority [organisation]","013832491","Monograph","Language material ; Text","Volume","GBA770130","","Black Mountains breakfast challenge : recipes","","","","Wales","Abergavenny","Adventa","2006","","1 volume (loose-leaf), colour illustrations, folded map, 23 cm","","","Breakfasts ; Cooking, Welsh","","English",""
"Ainsworth, Stewart","","person","","Oswald, Alastair [person] ; English Heritage [organisation] ; Pearson, Trevor [person] ; Frodsham, Paul [person] ; Ainsworth, Stewart [person]","013700226","Monograph","Language material ; Text","Volume","GBA723304","9781905624096","Hillforts : prehistoric strongholds of Northumberland National Park","","","","England","Swindon","English Heritage","2006","","vii, 131 pages, illustrations (chiefly colour), maps (chiefly colour), 28 cm","936.288","YK.2007.b.2133 ; m07/.32408","Great Britain--History--To 449 ; Northumberland (England)--Antiquities ; Fortification, Prehistoric--England--Northumberland National Park","","English",""
"Alderson, Alf","","person","","Alderson, Alf [person] ; Cleare, John [person]","009073086","Monograph","Language material ; Text","Volume","GBA0V2466","9781898630142 ; 9781898630371","Pembrokeshire coast : the official National Park guide","","","","England","Newton Abbot","Pevensey","2001","","112 pages, colour illustrations, colour map, 25 cm","914.29620486","","Pembrokeshire Coast National Park (Wales)--Guidebooks","","English","Includes index"
"Alex Gordon Partnership","","organisation","","Alex Gordon Partnership [organisation] ; Pembrokeshire Coast National Park Authority [organisation]","005650822","Monograph","Language material ; Text","Volume","GB9634469","","Redundant religious buildings in West Wales : a review of organisations involved with redundant churches and chapels","","","","Wales","Carmarthen","Alex Gordon Partnership","1993","","3 volumes, illustrations, maps, plans, 31 cm","","","Church buildings--Secular use--Wales ; Church buildings--Wales--Remodeling for other use ; Wales, West--Religious and ecclesiastical institutions","","English",""
"Alex Gordon Partnership","","organisation","","Alex Gordon Partnership [organisation]","012361527","Monograph","Language material ; Text","Volume","","","Redundant religious buildings in West Wales : a review of organisations involved with redundant churches and chapels","","","","","","Alex Gordon Partnership","1993","","","720","q94/26061-3","Architecture","","English",""
"Alexander, Roy","","person","","Willis, Susan Denise Margaret, author [person] ; Alexander, Roy [person] ; University of Chester [organisation] ; Thom, Tim [person] ; Burek, Cynthia V. [person]","016331803","Monograph","Language material ; Text","Online resource","","","The classification and management of limestone pavements : an endangered habitat","","","","United Kingdom","","University of Chester","2011","","1 online resource","333.784","569094","","","English",""
"Allen, James William","","person","","Allen, James William [person] ; Brown, Charles H. (Charles Henry), 1901- [person] ; Haworth, James [person]","010962212","Monograph","Language material ; Text","Volume","GB7330875","9780851000268","Walking in Derbyshire : a detailed route guide for rambling in the Peak District National Park and adjacent countryside","","","","England","Derby ; Lodge Lane, Derby","Derbyshire Countryside","1973","4th revised edition","64 pages, maps, 18 cm","796.51094251","","Walking ; Recreations--Walking--Peak District--Guidebooks ; Peak, The","","English","Previous edition 1969"
"Allen, James William","","person","","Allen, James William [person] ; Märtin, Herbert [person]","008117822","Monograph","Language material ; Text","Volume","GB8034023","9780851000695","Walking in Derbyshire : a detailed route guide for rambling in the Peak District National Park and adjacent countryside","","","","England","Derby ; Lodge Lane, Derby","Derbyshire Countryside","1980","7th revised edition, completely revised by H. Martin","64 pages, maps, 18 cm","796.51094251","X.629/13930","Walking--England--Derbyshire--Guidebooks ; Derbyshire--Recreations--Walking ; Derbyshire (England)--Description and travel--Guidebooks","Guidebook","English","Previous edition: 197-"
"Allen, James William","","person","","Haworth, James [person] ; Brown, Charles H. (Charles Henry), 1901- [person] ; Allen, James William [person]","010962217","Monograph","Language material ; Text","Volume","GB7502388","9780851000336","Walking in Derbyshire : a detailed route guide for rambling in the Peak District National Park and adjacent countryside","","","","England","Derby ; Lodge Lane, Derby","Derbyshire Countryside","1974","5th revised edition","64 pages, maps, 18 cm","796.510942511","","Walking--England--Peak District--Guidebooks ; Peak District (England)--Description and travel--Guide-books ; Derbyshire--Peak District--Recreations--Walking--Visitors' guides","Guidebook","English","Previous edition: 1973"
"Allen, James William","","person","","Haworth, James, of Derby [person] ; Allen, James William [person]","000056012","Monograph","Language material ; Text","Volume","","","Walking in Derbyshire. A detailed route guide for rambling in the Peak District National Park and adjacent countryside. Contributors: J. W. Allen [and others] ... Maps by Charles H. Brown ... General editor, James Haworth","","","","England","Derby","Derbyshire Countryside","1960","","64 pages (8°)","","10010.t.47","","","English",""
"Allen, James William","","person","","Haworth, James, of Derby [person] ; Allen, James William [person]","000056013","Monograph","Language material ; Text","Volume","","9780851000015","Walking in Derbyshire: a detailed route guide for rambling in the Peak District National Park and adjacent countryside; contributors J. W. Allen [and others], maps by Charles H. Brown; general editor James Haworth. 3rd revised ed","","","","England","Derby","Derbyshire Countryside","1969","","64 pages, maps, 19 cm","","X.808/5208","","","English",""
"Allen, James William","","person","","Haworth, James, of Derby [person] ; Allen, James William [person]","004119002","Monograph","Language material ; Text","Volume","","","Walking in Derbyshire: a detailed route guide for rambling in the Peak District National Park and adjacent countryside. By J. W. Allen [and others] . 4th ed. Ed. James Haworth","","","","England","Derby","Derbyshire Countryside","1972","","64 pages","","X.700/10138","","","English",""
"Allen, N. V. (Noel Vincent)","","person","","Allen, N. V. (Noel Vincent) [person]","012687462","Monograph","Language material ; Text","Volume","GB8112981","9780905297125","Exmoor's wildlife : mammals, birds, reptiles, fish, butterflies, woods, flowers","","","","England","South Molton ; South Molton, N Devon","Quest ; Western","1979","","64 pages, illustrations, 20 cm","574.942385","X.329/13673","Natural history--England--Exmoor ; England--Exmoor--National parks--Exmoor National Park--Organisms","","English",""
"Allen, N. V. (Noel Vincent)","","person","","Giddens, Caroline [person] ; Allen, N. V. (Noel Vincent) [person]","012019174","Monograph","Language material ; Text","Volume","GB9138391","9780900131608","Exmoor wildlife","","","","England","","Exmoor Press","1989","","72 pages","574.942385","YK.1991.a.12232","Natural history ; Somerset (England) ; Exmoor National Park","","English",""
"Allom, Thomas","1804-1872","person","artist","Allom, Thomas, 1804-1872, artist [person] ; Cousen, J. (John), 1804-1880, engraver [person]","014790512","Collection","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Loch Lomond from below Tarbet / (Dumbartonshire)","","","","England","","","1838-","","1 art print, steel-engraving, image 110 x 171 mm (trimmed)","","74/Tab.438.a.1","Loch Lomond and the Trossachs National Park (Scotland)--In art ; Views ; Mountains in art ; Lakes in art","Engraving ; Illustration ; Plan or view","English",""
"Althea","","person","","East Anglia Tourist Board [organisation] ; Althea [person] ; Barge, Veronica [person]","008784956","Monograph","Language material ; Text","Volume","GB7607079","9780851221120","Exploring the Broads","","","","England","Ipswich ; Museum Street, Ipswich, Suffolk","East Anglia Tourist Board","1975","","24 pages, colour illustrations, 15 cm","914.261704857","BS.411/153","Norfolk Broads--Description & travel ; Broads, The (England)--Description and travel--Juvenile literature","Children's literature","English",""
"Amphibian and Reptile Conservation (Organization)","","organisation","author","Howe, E. A., editor [person] ; Countryside Council for Wales [organisation] ; Amphibian and Reptile Conservation (Organization), author [organisation]","016681658","Monograph","Language material ; Text","Volume","GBB436969","","Spatial conservation status modelling of the great crested newt in Powys and Brecon Beacons National Park","","Contract science report / Countryside Council for Wales","1026 [Contract science report / Countryside Council for Wales]","Wales","Bangor","Countryside Council for Wales","2013","","29 pages, maps (black and white and colour), 30 cm","","","Triturus cristatus--Wales--Powys ; Triturus cristatus--Wales--Brecon Beacons National Park","","English ; Welsh",""
"Andrews, Nigel","1953-","person","","Andrews, Nigel, 1953- [person]","014918148","Monograph","Language material ; Text","Volume","GBA958378","9781906641047","The Bristol to Brecon walk : via Chepstow, Usk, Abergavenny, Crickhowell and Talybont","","","","United Kingdom Miscellaneous Islands","St Helier, Jersey","ELSP","2008","","79 pages, illustrations, maps, 22 cm","914.29980486","m09/.24567","Talybont (Wales)--Guidebooks ; Bristol (England)--Guidebooks ; Brecon Beacons National Park Authority--Guidebooks ; Walking--Wales--Monmouthshire--Guidebooks ; Abergavenny (Wales)--Guidebooks ; Usk (Wales)--Guidebooks ; Crickhowell (Wales)--Guidebooks ; Chepstow (Wales)--Guidebooks ; Brecon (Wales)--Guidebooks","Guidebook","English",""
"Anthony, Stewart","","person","","Anthony, Stewart [person] ; Peak Park Joint Planning Board [organisation]","012026000","Monograph","Language material ; Text","Volume","GB8109168","9780901428660","Wild flowers in the Peak National Park","","A Peak National Park handbook","","England","Aldern House, Baslow Road, Bakewell, Derbyshire DE4 1AE ; Bakewell","Peak Park Joint Planning Board","1980","","32 pages, illustrations (some colour), 14 x 19 cm","582.130942511","X.329/13524","England--Peak District--National parks--Peak National Park--Flowering plants ; Wild flowers--England--Peak District National Park ; Peak District National Park (England)","","English","Cover title"
"Anthony, Stewart","","person","","Shooter, Philip [person] ; Anthony, Stewart [person] ; Peak Park Joint Planning Board [organisation]","011637924","Monograph","Language material ; Text","Volume","GB8039398","9780901428349","Birds : where to watch them in the Peak National Park","","","","England","Aldern House, Baslow Road, Bakewell, Derbyshire DE4 1AE ; Bakewell","Peak Park Joint Planning Board","1979","","16 pages, illustrations, 1 colour map, 21 cm","598.2942511","","Birds--England--Peak District National Park ; England--Peak District--National parks--Peak National Park--Birds ; Birding sites--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks ; Bird watching--England--Peak District National Park--Guidebooks","Guidebook","English","Originally published : 1976"
"Archaeological Practice Ltd","","organisation","","Carlton, Richard [person] ; Rushworth, Alan [person] ; Roberts, Ian, 1956- [person] ; Archaeological Practice Ltd [organisation] ; Northumberland National Park Authority [organisation]","013361154","Monograph","Language material ; Text","Volume","GBA611857","9780907632412","Droving in Northumberland National Park : an historical and archaeological background 2005","","","","England","Newcastle upon Tyne","Archaeological Practice ; Northumberland National Park Authority","2005","","95 pages, illustrations (some colour), maps (some colour), 30 cm","636.2083","YC.2008.b.1659","Cattle drives--England--Northumberland National Park--History ; Northumberland National Park (England)--History","","English",""
"Architectural and Archaeological Society of Durham and Northumberland","","organisation","","Teesside Archaeological Society [organisation] ; North York Moors National Park [organisation] ; Cleveland (England), Archaeology Section [organisation] ; Architectural and Archaeological Society of Durham and Northumberland [organisation] ; Smith, Margaret J. B. [person]","008819515","Monograph","Language material ; Text","Volume","GB9474171","9780951038826","The excavated Bronze Age barrows of North east Yorkshire","","","","England","Durham","Architectural & Archaeological Society of Durham & Northumberland ; Cleveland County Archaeology Section ; North York Moors National Park, Teeside Archaeological Society","1994","","viii, 206 pages, 127, 27 pages","936.101","YC.1994.b.6332","Archaeology ; North Yorkshire (England)","","English",""
"Arnold, Denis V. (Denis Victor)","1915-","person","","Arnold, Denis V. (Denis Victor), 1915- [person]","010535471","Monograph","Language material ; Text","Volume","GB7719134","","The North York Moors : some glimpses of their history and a guide to further reading","","","","England","Foxton Mill, Osmotherley, Northallerton ; Northallerton ; Yorkshire","","1977","","18 pages, illustrations, 22 cm","942.846","X.709/25164","North Yorkshire--North York Moors--to 1976 ; North York Moors (England)--History ; North York Moors National Park (England)","","English",""
"Arnold, Sylvia M.","","person","","Arnold, Sylvia M. [person]","007442840","Monograph","Language material ; Text","Volume","GB8743838","9780907033424","Wild flowers of the North York Moors National Park","","","","England","Beverley","Hutton Press","1986","","102 pages, illustrations (some colour), 1 map, 21 cm","582.130942846","YK.1987.a.5391","Flowers--England--North York Moors ; North Yorkshire--North York Moors--Flowering plants","","English","bibliography: p94. _ Includes index"
"Arthur Ransome Society","","organisation","","Arthur Ransome Society [organisation]","013350834","Monograph","Language material ; Text","Volume","GBA603177","","Ransome Broadside","","","","England ; United Kingdom","","Arthur Ransome Society","2005","","123 pages, illustrations (some colour) map, portraits, 21 cm","942.617","YK.2005.a.18409","Broads, The (England) ; Ransome, Arthur, 1884-1967--Homes and haunts--England--Norfolk","","English",""
"Association of National Park Authorities","","organisation","","Brecon Beacons National Park Authority [organisation] ; Snowdonia National Park Authority [organisation] ; Pembrokeshire Coast National Park Authority [organisation] ; Association of National Park Authorities [organisation]","007210151","Serial","Language material ; Text","Volume","GBA354489","","National Parks of Wales : Brecon Beacons, Pembrokeshire Coast, Snowdonia","Annual review ; Parciau cenedlaethol Cymru","","","England","London","Association of National Park Authorities","2002-2003","","2 volumes, illustrations (some colour), portraits (some colour), 30 cm","363.6809429","BS.32/291","Brecon Beacons National Park Authority--Periodicals ; Snowdonia National Park Authority--Periodicals ; National parks and reserves--Wales--Periodicals ; Pembrokeshire Coast National Park Authority--Periodicals","Periodical","English ; Welsh","Added t.p. in Welsh: Parciau cenedlaethol Cymru ; Continued by: Welsh Association of National Park Authorities. National Parks of Wales ; Running title: Annual review ; Tête-bêche format"
"Association of National Park Authorities","","organisation","","Brecon Beacons National Park Committee [organisation] ; Association of National Park Authorities [organisation] ; Brecon Beacons National Park Authority [organisation]","009837982","Serial","Language material ; Text","Volume","GB9921176","","Annual report","Adroddiad Blynyddol ; Annual report (Brecon Beacons National Park Authority)","","","England ; Wales","Brecon","Brecon Beacons National Park Authority","1996-2001","","5 volumes, illustrations, 30 cm","363.68094295","1118.410000N ; BS.32/277","Brecon Beacons National Park Authority--Periodicals","Periodical","English ; Welsh","Variant title: Adroddiad Blynyddol (Parc Cenedlaethol Bannau Brycheiniog)"
"Association of National Park Authorities","","organisation","","Pembrokeshire Coast National Park Authority [organisation] ; Association of National Park Authorities [organisation]","009887600","Serial","Language material ; Text","Volume","","","Annual report","Adroddiad blynyddol ; Annual report (Pembrokeshire Coast National Park Authority)","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","-2001","","volumes, illustrations, portraits, 30 cm","","ZK.9.b.13319","Pembrokeshire Coast National Park (Wales)--Periodicals ; Pembrokeshire Coast National Park Authority--Periodicals","Periodical","English ; Welsh","Description based on: 1997-1998 issue"
"Atkinson, Nick","","person","","Chorlton, Edward [person] ; Atkinson, Nick [person] ; Devon (England), County Council [organisation]","007729612","Monograph","Language material ; Text","Volume","GB9534531","9781855223837","Dartmoor National Park : traffic management survey","","","","England","Exeter ; Newton Abbot","Dartmoor National Park Authority ; Environment Department, Devon County Council","1994","","60 pages, illustrations, maps, 30 cm","","","Traffic engineering--England--Dartmoor National Park ; Traffic flow--England--Dartmoor National Park ; Dartmoor National Park (England)--Environmental conditions","","English",""
"Atkinson, Nick","","person","","Dartmoor National Park Authority [organisation] ; Atkinson, Nick [person]","007729606","Monograph","Language material ; Text","Volume","GB9434282","9781855222908","Dartmoor National Park local plan : including minerals and waste policies : deposit version October 1993","","","","England","Bovey Tracey","Dartmoor National Park Authority","1993","","164 pages, illustrations, maps (some colour), 30 cm","","","Nature conservation--England--Devon ; National parks and reserves--England--Devon ; Dartmoor National Park (England)","","English","1 folded map in pocket in back cover"
"Atkinson, Nick","","person","","Dartmoor National Park Authority [organisation] ; Atkinson, Nick [person]","010988129","Monograph","Language material ; Text","Volume","GB9221479","9780905981796","Dartmoor National Park plan : second review 1991","","","","England","Bovey Tracey","Dartmoor National Park Authority","1991","","154 pages, illustrations, maps, 30 cm","","Vq92/03410","Nature conservation--England--Devon ; National parks and reserves--England--Devon ; Dartmoor National Park (England)","","English","1 folded map in pocket in back cover"
"Atkinson, Nick","","person","","Dartmoor National Park Authority [organisation] ; Atkinson, Nick [person]","011693356","Monograph","Language material ; Text","Volume","","9781855222908","Dartmoor National Park Local Plan including minerals and waste policies : deposit version","","","","","","Dartmoor National Park Authority","1993","","","307.12 ; 577 ; 790 ; 796 ; 910","OP-LG/7550","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism ; Ecology","","English",""
"Atkinson, Nick","","person","","Dartmoor National Park Authority [organisation] ; Chorlton, Edward [person] ; Atkinson, Nick [person] ; Devon (England), County Council [organisation]","012359328","Monograph","Language material ; Text","Volume","","9781855223837","Dartmoor National Park : traffic management strategy","","","","","","Devon, County Council","1994","","","307.12 ; 790 ; 796 ; 910","OP-LG/7981","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"Aune Head Arts (Organization)","","organisation","","Povall, Richard [person] ; Aune Head Arts (Organization) [organisation]","015717422","Monograph","Language material ; Text","Volume","GBB1B7137","9780956611406","Triparks : six artists in three national parks","","","","England","Yelverton","Aune Head Arts","2010","","37 pages, colour illustrations, maps, 18 cm","759.2","YK.2011.a.29398","Landscape painting, English--21st century ; Northumberland National Park (England)--In art ; Dartmoor National Park (England)--In art ; Exmoor National Park (England)--In art","","English",""
"Austin, Richard","","person","author","Austin, Richard, author [person] ; University of Newcastle upon Tyne [organisation]","016764576","Monograph","Language material ; Text","Online resource","","","The policy and practice of protected area management : partnership working in Northumberland National Park","","","","United Kingdom","","University of Newcastle Upon Tyne","2013","","1 online resource","333.72","603400","","","English",""
"Autism and Nature (Social enterprise)","","organisation","","Blakesley, Tharada, author [person] ; Blakesley, David, 1959-, author [person] ; Autism and Nature (Social enterprise) [organisation]","018186120","Monograph","Language material ; Still image ; Text","Volume","GBB779825","9780993471018","Exploring the New Forest by bus : a guide for families with children with autism","","","","United Kingdom","","Autism & Nature","2016","","24 pages, colour illustrations, 21 cm","914.2275048610875","YKL.2018.a.16493","Nature study--England--New Forest National Park ; Bus travel--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks ; Autistic children--Travel--England--New Forest National Park","Guidebook","English",""
"Automobile Association (Great Britain)","","organisation","","Automobile Association (Great Britain) [organisation]","015682301","Monograph","Language material ; Text","Volume","GBB1C2536","9780749564308","30 walks in the Brecon Beacons and South Wales","Brecon Beacons & South Wales ; Thirty walks in the Brecon Beacons & South Wales","","","England","","Automobile Association","2010","","1 pack, colour illustrations, colour maps, 17 x 12 x 3 cm","796.51094296","Cup.935/1623","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Walking--Wales, South--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","'Walks of 2 to 10 miles' - back of case ; 31 cards in plastic wallet, held in case ; Title from front of case"
"Automobile Association (Great Britain), Mapping Services Department","","organisation","cartographer","Automobile Association (Great Britain), Mapping Services Department, cartographer [organisation] ; Great Britain, Ordnance Survey, cartographer [organisation]","016500227","Monograph","Cartographic image ; Cartographic material","Sheet","","9780749573096","Brecon & the Black Mountains","AA 17 Brecon & the Black Mountains ; Brecon & the Black Mountains walker's map","AA Walker's Map","17 [AA Walker's Map]","England","Basingstoke","AA Publishing","2012","1st edition April 2012","1 map, both sides, colour, on sheet 95 x 127 cm, folded in cover to 24 x 14 cm","912.42956","Maps 220.b.863","Brecon Beacons National Park (Wales)--Maps ; Black Mountains (Wales and England)--Maps","Map","English","'Mapping sourced from Ordnance Survey.' ; Relief shown by contours and spot heights"
