"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"283.42956092","012487555","Monograph","Language material ; Text","Sheet","GB9362641","","","","","","Brecon Beacons National Park Authority [organisation]","An Unbroken line in the upper Usk valley : the Williamses of Abercamlais","","","","England","","Brecon Beacons National Park","1991","","1 folded sheet (6 pages)","YK.1994.b.1049","Clergy ; Powys (Wales) ; Williams family, of Abercamlais, Wales ; Church in Wales--Diocese of Swansea and Brecon","","English",""
"300","019108116","Monograph","Language material ; Text","Online resource","","","Isaacs, E. M.","","person","author","London South Bank University [organisation] ; Tyler, D. [person] ; Isaacs, E. M., author [person] ; Mason, P. [person]","Community development, tourism and the Sustainable Development Fund within the Brecon Beacons National Park","","","","United Kingdom","","London South Bank University","2017","","1 online resource","755903","","","English",""
"301","009784803","Monograph","Language material ; Text","Online resource","","","Walsh, Katharine Mary","","person","","Walsh, Katharine Mary [person]","The survival of hill farming in the Lake District National Park : a sociological approach","","","","","","University of Essex","1991","","","302795","Agricultural economics ; Human services ; Sociology ; Geography ; Agricultural industries ; Rural areas land utilisation","","English",""
"304.2094261","015969608","Monograph","Language material ; Text","Volume","GBB1D1669","9781405190817 ; 9781405190824","Matless, David","","person","","Matless, David [person]","In the nature of landscape : cultural geography on the Norfolk Broads","","","","England","Chichester, West Sussex ; Malden, Massachusetts","Wiley-Blackwell","2014","","xiii, 280 pages, 24 cm","SPIS333.730942617","SCIENCE / Earth Sciences / Geography ; Broads, The (England)--Social life and customs ; Human geography--England--Broads, The ; Broads, The (England)--Environmental conditions ; Landscapes--England--Broads, The ; Broads, The (England)--Historical geography","","English","Additional physical form: Matless, David. Online version. In the nature of landscape. Chichester, West Sussex ; Malden, MA : Wiley-Blackwell, 2014. 9781118295717"
"305.5690942511","007446486","Monograph","Language material ; Text","Volume","GB9302101","9780907543497","Scott, Duncan","1942-","person","","Peak Park Trust [organisation] ; Healey, Brian [person] ; Scott, Duncan, 1942- [person] ; Shenton, Neil [person] ; University of Manchester, Department of Social Policy and Social Work [organisation]","Hidden deprivation in the countryside : local studies in the Peak District National Park","","","","England","Glossop","Peak Park Trust","1991","","76 pages, illustrations, 2 maps, 30 cm","YK.1993.b.6548","Derbyshire (England) ; Rural regions--Social conditions","","English","'A report commissioned by the Peak Park Trust from the Department of Social Policy and Social Work, University of Manchester' - t.p"
"306.449094124","018020631","Monograph","Language material ; Text","Online resource","GBB6F9525","","Cairngorms National Park Authority","","organisation","author","Cairngorms National Park Authority, author [organisation]","Cairngorms National Park Authority Gaelic language plan","Gaelic language plan","","","Scotland","Grantown-on-Spey, Moray","Cairngorms National Park Authority","2013","","1 online resource (43 pages)","ELD.DS.92469","Language maintenance--Scotland--Cairngorms National Park--Planning ; Scottish Gaelic language--Scotland--Cairngorms National Park ; Language planning--Scotland--Cairngorms National Park ; Language spread--Scotland--Cairngorms National Park--Planning ; Cairngorms National Park Authority--Language","","English","'Approved by Bòrd na Gàidhlig - March 2013.'"
"306.449094124","018020632","Monograph","Language material ; Text","Online resource","GBB773698","","Cairngorms National Park Authority","","organisation","author","Cairngorms National Park Authority, author [organisation]","Plana Gàidhlig Ùghdarras Pàirc Nàiseanta a' Mhonaidh Ruaidh","","","","Scotland","Baile Ùr nan Granndach","Ùghdarras Pàirc Nàiseanta a' Mhonaidh Ruaidh","2013","","1 online resource (43 pages), colour illustrations","ELD.DS.92470","Language maintenance--Scotland--Cairngorms National Park--Planning ; Scottish Gaelic language--Scotland--Cairngorms National Park ; Language planning--Scotland--Cairngorms National Park ; Language spread--Scotland--Cairngorms National Park--Planning ; Cairngorms National Park Authority--Language","","Gaelic","'Aontaichte le Bòrd na Gàidhlig -- Màrt 2013.'"
"306.48094288","007447478","Monograph","Language material ; Text","Volume","GB8214037","9780907632047","","","","","Northumberland (England), National Park and Countryside Committee [organisation]","The 1980 visitor surveys","","Occasional paper","number 4 [Occasional paper]","England","Hexham","Northumberland National Park & Countryside Committee","1981","","62 pages, 10 pages of plates, illustrations, maps, 30 cm","BS.116/180. [no.4]","Northumberland National Park (England)--Statistics ; National parks and reserves--England--Northumberland--Visitors--Statistics ; Northumberland--National parks--Northumberland National Park--Visitors--1980","","English",""
"307.1","015929564","Monograph","Language material ; Text","Online resource","","","Hewlett, Denise","","person","","Bournemouth University [organisation] ; Hewlett, Denise [person]","Community participation in local decision-making in protected areas : the case of the New Forest National Park, Hampshire, England","","","","United Kingdom","","Bournemouth University","2010","","pages, digital, pdf file","519976","","","English",""
"307.12","006049069","Monographic component part","Language material ; Text","Volume","","9780861830312","","","","","Exmoor National Park [organisation]","Exmoor National Park plan review 1982","","","","","Dulverton","Exmoor National Park","1982","","","3836.363000","Regional planning ; Urban planning & rural planning","","English",""
"307.12","006053661","Monographic component part","Language material ; Text","Volume","","","","","","","Lake District National Park Authority [organisation]","Lake District National Park Report : 1983-84","","","","England","Kendal","Lake District National Park","1984","","","5143.928500","Regional planning ; Urban planning & rural planning ; Lake District planning","","English",""
"307.12","006099243","Monographic component part","Language material ; Text","Volume","","9780905293073","Beresford, Michael","","person","","Brecon Beacons National Park Authority [organisation] ; Beresford, Michael [person]","National Park plan review - Brecon Beacons National Park : first review, 1987","","","","","","Brecon Beacons National Park","1987","","","6027.981500","Regional planning ; Urban planning & rural planning","","",""
"307.12","006134200","Monographic component part","Language material ; Text","Volume","","9780861832019","Exmoor National Park Authority","","organisation","","Exmoor National Park Authority [organisation]","Exmoor National Park Plan : second review, 1991-1996","","","","","","Exmoor National Park Authority","1991","","","3836.363000","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"307.12","006252398","Monographic component part","Language material ; Text","Volume","","","Bayfield, N. G.","","person","","Banchory Research Station [organisation] ; Bayfield, N. G. [person]","Three Peaks Project : monitoring handbook","","","","","","Banchory Research Station","1988","","","4588.558000","Ecology ; Urban planning & rural planning ; Regional planning ; Countryside footpaths","","English",""
"307.12","006336864","Monographic component part","Language material ; Text","Volume","","","Willis, K. G. (Kenneth George)","","person","","Willis, K. G. (Kenneth George) [person] ; Countryside Change Initiative [organisation] ; Garrod, Guy [person]","Landscape values : a contingent valuation approach and case study of the Yorkshire Dales National Park","","ESRC Countryside Change Initiative working paper","no 21 [ESRC Countryside Change Initiative working paper]","","","Economic & Social Research Council, Countryside Change Initiative","1991","","","3482.041000","Regional planning ; Ecology ; Urban planning & rural planning","","English",""
"307.12","006388114","Monographic component part","Language material ; Text","Volume","","9780863421822","Coleman, Charlotte","","person","","Coleman, Charlotte [person] ; Oxford Brookes University, School of Planning [organisation]","Visitor and Parish Council surveys in the North York Moors National Park : Visitor's and Parish Council's views towards traffic, environmental conditions and possible traffic management methods in the North York Moors National Park","Managing the impact of car-based visitor traffic in the North York Moors National Park; visitor and Parish Council surveys 1994-1995","Working paper","no 167 [Working paper]","","","Oxford Brookes University, School of Planning","1996","","","9349.834020","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism ; Car; Conservation; Preservation","","English",""
"307.12","006452166","Monographic component part","Language material ; Text","Volume","","","Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","Pembrokeshire Coast Path : National Trail User Survey 1996-1997","","","","","","Pembrokeshire Coast National Park Committee","1998","","","6419.080000","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"307.12","006452167","Monographic component part","Language material ; Text","Volume","","","Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","Pembrokeshire Coast Path : National Trail User Survey 1996-97; summary of results","","","","","","Pembrokeshire Coast National Park Committee","1998","","","6419.080000","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"307.12","006548558","Monographic component part","Language material ; Text","Volume","","9780861706198","Great Britain, Countryside Agency","","organisation","","Great Britain, Countryside Agency [organisation]","New Forest National Park draft boundary : public consultation report","","","","","","Great Britain, Countryside Agency","2000","","","3482.027000","Regional planning ; Hampshire ; Urban planning & rural planning","","English",""
"307.12","006605984","Monographic component part","Language material ; Text","Volume","","","Peak District National Park Authority","","organisation","","Peak District National Park Authority [organisation]","State of the park report 2000","","","","","","Peak District National Park Authority","2000","","","8438.269500","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Access; Protection ; Tourism","","English",""
"307.12","007120796","Monograph","Language material ; Text","Volume","","9780906421352","Tarn, Alan","","person","","Tarn, Alan [person] ; Wilson, Lesley, editor [person] ; Lake District National Park Authority [organisation]","Facts & figures : Lake District National Park","Lake District National Park: facts and figures","","","","","Lake District National Park","1994","","","q95/11894","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"307.12","007121670","Monograph","Language material ; Text","Volume","","","Northumberland (England), National Park and Countryside Committee","","organisation","","Northumberland (England), National Park and Countryside Committee [organisation]","Northumberland National Park design guide : draft","","","","","","Northumberland National Park & Countryside Committee","1994","","","q95/13108","Regional planning ; Urban planning & rural planning ; Architecture","","English",""
"307.12","007793853","Monograph","Language material ; Text","Volume","","","Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","Moor and heath conservation in the Pembrokeshire coast National Park","","","","","","Pembrokeshire Coast National Park Committee","1981","","","OP/LG-4481","Ecology ; Regional planning ; Urban planning & rural planning","","English",""
"307.12","007815990","Monograph","Language material ; Text","Volume","","9780906421505","Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","Lake District National Park management plan : draft for consultation","","","","","","Lake District National Park Authority","1997","","","99/20295","Regional planning ; Urban planning & rural planning","","English",""
"307.12","007818894","Monograph","Language material ; Text","Volume","","","Brecon Beacons National Park Authority","","organisation","","Brecon Beacons National Park Authority [organisation]","Meithrin Mynydd (common land management in upland Wales)","Meithrin Mynydd; (rheoli tir comin yn ucheldir Cymru)","","","","","Brecon Beacons National Park Authority","1999","","","99/22351","Regional planning ; Ecology ; National Parks ; Urban planning & rural planning","","English",""
"307.12","007829217","Monograph","Language material ; Text","Volume","","","","","","","Lake District National Park Authority [organisation] ; Cumbria (England), County Council [organisation]","Planning Cumbria : Cumbria and Lake District Joint Structure Plan, 2001-2016 deposit plan, May 2003","","","","England","Carlisle","Cumbria County Council","2003","","72 pages, illustrations, colour maps, 30 cm","m03/28270","Regional planning ; Urban planning & rural planning","","English","Co-published by: Lake District National Park Authority ; Title from cover"
"307.12","008479409","Monograph","Language material ; Text","Volume","","9780948161056","Snowdonia National Park","","organisation","","Snowdonia National Park [organisation]","Eryri local plan : consultation draft; written statement","Eryri cynllun lleol; drafft ymgynghorol","","","","","Snowdonia National Park","1995","","","GPC/08221","Regional planning ; Urban planning & rural planning","","English",""
"307.12","008479413","Monograph","Language material ; Text","Volume","","9780948161056","Snowdonia National Park","","organisation","","Snowdonia National Park [organisation]","Eryri local plan : consultation draft; settlement inset maps; Meirionnydd- outside the National Park","Eryri cynllun lleol; drafft ymgynghorol; mapiau cryno aneddiadua- Meirionnydd y tu allan i'r Parc Cenedlaethol","","","","","Snowdonia National Park","1995","","","GPC/08225","Regional planning ; Urban planning & rural planning","","English",""
"307.12","008479415","Monograph","Language material ; Text","Volume","","9780948161056","Snowdonia National Park","","organisation","","Snowdonia National Park [organisation]","Eryri local plan : consultation draft; settlement inset maps; south","Eryri cynllun lleol; drafft ymgynghorol; mapiau cryno aneddiadua- de","","","","","Snowdonia National Park","1995","","","GPC/08222","Regional planning ; Urban planning & rural planning","","English",""
"307.12","008479416","Monograph","Language material ; Text","Volume","","9780948161056","Snowdonia National Park","","organisation","","Snowdonia National Park [organisation]","Eryri local plan : consultation draft; settlement inset maps; north","Eryri cynllun lleol; drafft ymgynghrorol; mapiau cryno aneddiadau - gogledd","","","","","Snowdonia National Park","1995","","","GPC/08224","Regional planning ; Urban planning & rural planning","","English",""
"307.12","008481065","Monograph","Language material ; Text","Volume","","9780905404608","Cumbria (England), County Council","","organisation","","Lake District National Park Authority [organisation] ; Cumbria (England), County Council [organisation]","Development for the 1990s : Cumbria and Lake District joint structure plan 1991-2006","","","","","","Cumbria, County Council","1995","","","OP-LG/8367","Regional planning ; Urban planning & rural planning","","English",""
"307.12","008481794","Monograph","Language material ; Text","Volume","","9780906421345","Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation] ; Lake District Special Planning Board [organisation]","Lake District National Park local plan : incorporating policies in respect of minerals and waste; deposit copy","","","","","","Lake District National Park","1994","","","OP-LG/8374","Regional planning ; Urban planning & rural planning","","English",""
"307.12","008500461","Monograph","Language material ; Text","Volume","","","Somerset (England), County Council","","organisation","","Exmoor National Park Authority [organisation] ; Somerset (England), County Council [organisation]","Somerset and Exmoor National Park joint structure plan review : proposed modifications November 1999","","","","","","Somerset, County Council","1999","","","99/37321","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"307.12","008500462","Monograph","Language material ; Text","Volume","","9780907480822","North York Moors National Park","","organisation","","North York Moors National Park [organisation]","North York Moors local plan, including mineral and waste policies : deposit draft","","","","","","North York Moors National Park","1999","","","f99/3979","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Environmental protection ; Environmental pollution, protection and control, general ; Sports ; Tourism ; Pollution","","English",""
"307.12","008502090","Monograph","Language material ; Text","Volume","","9780906421536","Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","Bassenthwaite Lake National Nature Reserve management plan","","","","","","Lake District National Park Authority","1999","","","99/39496","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Geography ; Sports ; Tourism ; Countryside access; Conservation management","","English",""
"307.12","008803999","Monograph","Language material ; Text","Volume","GB9361114","9780948119170","Broads Authority","","organisation","","Broads Authority [organisation]","No easy answers : draft Broads plan 1993","","","","England","Norwich","Broads Authority","1993","","158 pages, illustrations, 30 cm","OP-LG/7429 ; YK.1996.b.5922","Drainage basins--Management ; Norfolk (England) ; Suffolk (England) ; Broads, The (England)--Recreational use--Forecasting ; Wetlands--Conservation ; Urban planning & rural planning ; Regional planning ; Regional planning--England--Broads, The ; Ecology","","English",""
"307.12","009135164","Monograph","Language material ; Text","Online resource","","","Harris, Paul Charles","","person","","Harris, Paul Charles [person]","The impact of agricultural investment in less favoured ares : a case study of the Snowdonia National Park","","","","","","University College of Wales","1988","","","292587","Agricultural economics ; Urban planning & rural planning ; Regional planning ; Agricultural industries ; Ecology","","English",""
"307.12","009150358","Monograph","Language material ; Text","Volume","","9781855224865","Dartmoor National Park Authority","","organisation","","Dartmoor National Park Authority [organisation]","Dartmoor National Park Local Plan (Revised) : including minerals and waste policies - adopted version, February 1996","","","","","","Dartmoor National Park Authority","1996","","","OP-LG/8419","Regional planning ; Urban planning & rural planning","","English",""
"307.12","009155164","Monograph","Language material ; Text","Volume","","9780948161063","Huws, Iwan","","person","","Snowdonia National Park Authority [organisation] ; Huws, Iwan [person]","Public rights of way in the Snowdonia National Park : report of LINKS survey 1992-1996","","","","","","Snowdonia National Park Authority","1996","","","GPC/09228","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Countryside access; Footpaths; Bridleways ; Sports ; Tourism","","English",""
"307.12","009164740","Monograph","Language material ; Text","Volume","","","Somerset (England), County Council","","organisation","","Exmoor National Park Authority [organisation] ; Somerset (England), County Council [organisation]","Somerset and Exmoor National Park Joint Structure Plan Review : statement of decisions and reasons as respects objections and representations made to the proposed modifications","","","","","","Somerset, County Council","2000","","","m00/19471","Regional planning ; Urban planning & rural planning","","English",""
"307.12","009808645","Monograph","Language material ; Text","Volume","","9780906421406","Fishwick, Alan","","person","","Clayson, John [person] ; Fishwick, Alan [person] ; Lake District National Park Authority [organisation]","Lake District National Park Authority GIS Development Project : final report to the Countryside Commission","GIS Development Project: final report to the Countryside Commission","","","","","Lake District National Park Authority","1995","","","98/17423","Regional planning ; Geographical information systems ; Geography ; Urban planning & rural planning","","",""
"307.12","010427544","Monograph","Language material ; Text","Volume","","9780905455297","","","","","Drewitt, A. L. (Allan L.), compiler [person] ; Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation]","The vegetation of the Yorkshire Dales National Park","","","","","","Yorkshire Dales National Park","1991","","","q93/11455","Regional planning ; Geography ; Botany ; Urban planning & rural planning","","English",""
"307.12","010438069","Monograph","Language material ; Text","Volume","","","Capstick, E. J","","person","","Lake District National Park Authority [organisation] ; Capstick, E. J [person] ; Foulds, R. [person]","Lake District National Park Commons Project 1988 - 1990 : a report to the Lake District Special Planning Board and the Countryside Commission","Lake District Commons Project","","","","","Lake District National Park Authority","1991","","","q97/05888","Common land management ; Regional planning ; Urban planning & rural planning","","English",""
"307.12","010441313","Monograph","Language material ; Text","Volume","","9781855225602","Dartmoor National Park Authority","","organisation","","Dartmoor National Park Authority [organisation]","Working together : the local community and the Dartmoor National Park Authority; a guide to National Park Authority Services incorporating the Dartmoor National Park Authority Citizen's Charter","","","","","","Dartmoor National Park Authority","1997","","","97/08985","Urban planning & rural planning ; Regional planning ; Environmental protection ; Environmental pollution, protection and control, general ; Pollution","","English",""
"307.12","010445315","Monograph","Language material ; Text","Volume","","9781853972904","Scottish Natural Heritage (Agency)","","organisation","","Scottish Natural Heritage (Agency) [organisation]","A proposal for a Cairngorms National Park : a consultation of the area, powers and representation for the proposed National Park; 'a new way of caring for a special place'","","","","","","Scottish Natural Heritage","2000","","","Vm00/50930","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Public administration ; Sports ; Tourism ; Political science ; Scotland; Scottish; Wildlife; Conservation","","English",""
"307.12","010449790","Monograph","Language material ; Text","Volume","","9780905981529","English Nature (Agency)","","organisation","","Dartmoor National Park Authority [organisation] ; English Nature (Agency) [organisation]","The nature of Dartmoor : a biodiversity profile","","","","","","English Nature","2001","2nd revised edition","","m01/13804","Ecology ; Regional planning ; Conservation ; Urban planning & rural planning","","English",""
"307.12","010449791","Monograph","Language material ; Text","Volume","","9780905981536","Dartmoor Biodiversity Steering Group","","organisation","","Dartmoor Biodiversity Steering Group [organisation]","Action for wildlife : the Dartmoor Biodiversity Action Plan","","","","","","Dartmoor National Park Authority","2001","","","m01/13802","Management & business studies ; Urban planning & rural planning ; Regional planning ; Ecology ; Conservation; National Park","","English",""
"307.12","010456175","Monograph","Language material ; Text","Volume","","","Great Britain, Countryside Agency","","organisation","","Peak District National Park Authority [organisation] ; Great Britain, Countryside Agency [organisation]","Pennine Way management project : review 1991-2001","","","","","","Great Britain, Countryside Agency","2001","","","m01/20075","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Path restoration; Repair; Erosion; Maintenance ; Tourism","","English",""
"307.12","010988128","Monograph","Language material ; Text","Volume","GBA352504","9780905981260","Wall, Graham","","person","","Wall, Graham [person] ; Dartmoor National Park Authority [organisation]","Dartmoor National Park local plan : first review 1995-2011, revised deposit version","","","","England","Bovey Tracey","Dartmoor National Park Authority","2003","","180 pages, illustrations, maps (some colour), 30 cm","Vm03/50223","Nature conservation--England--Dartmoor ; National parks and reserves--England--Dartmoor ; Urban planning & rural planning ; Regional planning ; Dartmoor National Park (England)","","English","1 folded map in pocket in back cover"
"307.12","010988337","Monograph","Language material ; Text","Volume","GB9721807","9780906421413","","","","","Lake District National Park Authority [organisation]","Derwentwater management plan","","","","England","Kendal","Lake District National Park Authority","1996","","40 pages, maps, 30 cm","q96/30149","Water resources development--England--Lake District ; Urban planning & rural planning ; Regional planning ; Derwentwater, Lake (England) ; Lake renewal--England--Lake District ; Ecology ; Lake ecology--England--Lake District","","English",""
"307.12","010988820","Monograph","Language material ; Text","Volume","GB9873737","9780907480761","North York Moors National Park Authority","","organisation","","North York Moors National Park [organisation] ; North York Moors National Park Authority [organisation]","Measuring change : in the North York Moors National Park","","","","England","Helmsley","North York Moors National Park","1998","","40 pages, illustrations, maps, 30 cm","GPE/3595","Urban planning & rural planning ; Regional planning ; Geography ; National parks and reserves--England--North York Moors--Management ; North York Moors National Park (England) ; North York Moors National Park (England)--Statistics","","English","'April 1998.'"
"307.12","011049881","Monograph","Language material ; Text","Volume","","","","","","","Peak District National Park, Peak Park Joint Planning Board [organisation]","Peak District National Park : Structure plan","","","","England","Bakewell","Peak District National Park Peak Park Joint Planning Board","1980","","","f81/0287","Regional planning ; Urban planning & rural planning","","English",""
"307.12","011050200","Monograph","Language material ; Text","Volume","","","","","","","Exmoor National Park Committee [organisation] ; Somerset (England), County Council [organisation]","Lynton and Lynmouth draft local plan and supplementary planning guidance","","","","","Taunton","Somerset County Council","1980","","","fv81/1369","Regional planning ; Urban planning & rural planning","","English",""
"307.12","011077607","Monograph","Language material ; Text","Volume","","9780906421277","Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","Interim policy statements : 1. Housing 2. Employment 3. Conserving the character of settlements 4. Conservation and the use of traditional buildings","","","","","","Lake District National Park Authority","1991","","","q97/20391","Urban planning & rural planning ; Regional planning ; Labor ; Labour studies ; Housing ; Housing provision & property","","English",""
"307.12","011085332","Monograph","Language material ; Text","Volume","","9780861833573","Carroll, Tim","","person","","Carroll, Tim [person] ; Somerset (England), County Council [organisation] ; Temperley, Humphrey [person]","Somerset and Exmoor National Park joint structure plan review : adopted April 2000","","","","","","Somerset, County Council","2000","","","m01/27765","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"307.12","011089831","Monograph","Language material ; Text","Volume","","","Council for National Parks","","organisation","","Ramblers' Association [organisation] ; Council for National Parks [organisation]","Meeting the challenges of the new millennium : a proposal for a wider New Forest National Park","","","","","","Council for National Parks","1998","","","m01/33411","Forestry & agroforestry & sustainable forestry ; Regional planning ; Forests and forestry ; Urban planning & rural planning","","English",""
"307.12","011670870","Monograph","Language material ; Text","Volume","","","","","","","Peak Park Joint Planning Board [organisation]","Peak district national park : Transport policies","","","","England","Bakewell","Peak Park Joint Planning Board","1982","","","f83/3995","Regional planning ; Urban planning & rural planning","","English",""
"307.12","011675454","Monograph","Language material ; Text","Volume","","9780861830367","","","","","Exmoor National Park [organisation]","Exmoor National Park plan review : Roads and traffic management","","","","","","Exmoor National Park","1983","","","f84/1206","Regional planning ; Urban planning & rural planning","","English",""
"307.12","011675455","Monograph","Language material ; Text","Volume","","9780861830374","","","","","Exmoor National Park [organisation]","Exmoor National Park plan review : Public transport","","","","","","Exmoor National Park","1983","","","f84/1207","Regional planning ; Urban planning & rural planning","","English",""
"307.12","011678454","Monograph","Language material ; Text","Volume","","","","","","","North Yorkshire County Council, North York Moors National Park Committee [organisation]","A management plan for Levisham Moor","","","","England","Northallerton","North Yorkshire County Council North York Moors National Park Committee","","","","84/19376","Regional planning ; Urban planning & rural planning","","English",""
"307.12","011678456","Monograph","Language material ; Text","Volume","","","","","","","North York Moors National Park [organisation]","The Bransdale Moor management plan","","","","","Helmsley","North York Moors National Park","1982","","","84/19426","Regional planning ; Urban planning & rural planning","","English",""
