"BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"001113961","Monograph","Language material ; Text","Volume","","","Great Britain, Ministry of Housing and Local Government","","organisation","","Great Britain, Ministry of Housing and Local Government [organisation] ; Great Britain, Peak Park Planning Board [organisation] ; England [organisation]","Town & Country Planning Act, 1947; National Parks and Access to the Countryside Act, 1949. Peak District National Park Development Plan. Written statement ... of the Peak Park Planning Board Development Plan as modified by the Minister of Housing and Local Government, etc","","","","England","London","","1959","","7 pages, 33 cm","","B.S.116/48","","","English",""
"001117637","Serial","Language material ; Text","Volume","","","Great Britain, Peak Park Planning Board","","organisation","","Great Britain, Peak Park Planning Board [organisation]","Peak District National Park. Official register of accommodation and catering establishments, etc. (Peak District National Park. Handbook of accomodation and catering establishments.)","","","","England","London","Century Press","1954-","","","","P.P.2506.tme","","","English","Various editions"
"001117648","Monograph","Language material ; Text","Volume","","","Great Britain, Peak Park Planning Board","","organisation","","Great Britain, Peak Park Planning Board [organisation]","Peak District National Park Development Plan. Report and analysis of survey, etc. (Written statement.) [With maps.]","","","","England","Bakewell","","1955","","2 parts (folio)","","B.S.128/37","","","English",""
"001117649","Monograph","Language material ; Text","Volume","","9780901428080","Great Britain, Peak Park Planning Board","","organisation","","Great Britain, Peak Park Planning Board [organisation]","People and countryside: conservation study kit","","","","England","Bakewell","","1970","","pages not numbered, 30 cm","","B.S.128/430","","","English",""
"001117651","Monographic component part","Language material ; Text","Volume","","","Great Britain, Peak Park Planning Board","","organisation","","Great Britain, Peak Park Planning Board [organisation]","People and countryside: conservation study kit [Folder containing a collection of pamphlets on subjects connected with the Peak District National Park] . 9 pt","","","","","","","","","","","B.S.128/430","","","English",""
"001120192","Serial","Language material ; Text","Volume","","","Snowdonia Park Joint Advisory Committee","","organisation","","Snowdonia Park Joint Advisory Committee [organisation]","Snowdonia National Park. First [etc.] Report of the Snowdonia Park Joint Advisory Committee. For the period ending 31st March, 1954 [etc.]","","","","","Dolgelly","","1954","","","","B.S.150","","","English",""
"001120193","Monograph","Language material ; Text","Volume","","","Snowdonia Park Joint Advisory Committee","","organisation","","Edwards, G. Rhys [person] ; Snowdonia Park Joint Advisory Committee [organisation]","The Joint Advisory Committee's guide to the Snowdonia National Park [By G. Rhys Edwards. With illustrations.]","","","","","Dolgellau","","1966","","124 pages (oblong 8°)","","X.808/3183","","","English",""
"001120194","Monograph","Language material ; Text","Volume","","","Snowdonia Park Joint Advisory Committee","","organisation","","Snowdonia Park Joint Advisory Committee [organisation]","Snowdonia National Park","","","","","","Dolgellau","1970","","pages not numbered, illustrations 16 ×, 22 cm","","B.S.116/9","","","",""
"001122186","Monograph","Language material ; Text","Volume","","","Yorkshire Dales National Park Authority (North Yorkshire, England)","","organisation","","Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation]","Miscellaneous publications, not catalogued separately","","","","England","Harrogate","","1971","","","","B.S.32/118","","","",""
"001122187","Serial","Language material ; Text","Volume","","","Yorkshire Dales National Park Authority (North Yorkshire, England), Information Service","","organisation","","Yorkshire Dales National Park Authority (North Yorkshire, England), Information Service [organisation]","Broadsheet","","","","England","Harrogate","","1973-","","30 cm","","B.S.32/119","","","",""
"001131572","Serial","Language material ; Text","Volume","","","Council for the Preservation of Rural England, Sheffield and Peak District Committee","","organisation","","Council for the Preservation of Rural England, Sheffield and Peak District Committee [organisation]","Miscellaneous leaflets","","","","England","Sheffield","","1957-1993","","volumes (8°)","","J/10095.t.25","","","English",""
"002058681","Monograph","Language material ; Text","Volume","","","Lamb, Janet","","person","","Lamb, Janet [person]","Visitors' Guide to the Snowdonia National Park ... Edited by J. Lamb, etc [With illustrations.]","","","","England","London","C. & D. Constaple","1960","","64 pages (8°)","","10060.m.43","","","English",""
"002466504","Monograph","Language material ; Text","Volume","","9780852062609","Merrill, John N.","1943-","person","","Merrill, John N., 1943- [person]","The Peakland Way. 96 miles through the Peak District National Park","","","","","Clapham, North Yorkshire","Dalesman","1975","","87 pages, illustrations, maps, 21 cm","","X.709/18052","","","English",""
"002527569","Monograph","Language material ; Text","Volume","","","County Council (Monmouth, County of), Park Planning Committee","","organisation","","County Council (Monmouth, County of), Park Planning Committee [organisation]","Brecon Beacons National Park. Monmouthshire section. 30 walks, etc","","","","","Newport","","1970","","pages not numbered, 5 plates, maps, 25 × 10 cm","","X.800/36011","","","English",""
"002674031","Monograph","Language material ; Text","Volume","","","Northumberland National Park (Northumberland)","","organisation","","Northumberland National Park (Northumberland) [organisation]","Northumberland National Park. Handbook and register of accommodation [With plates, including a map.]","","","","","Newcastle upon Tyne","","1959","","47 pages (8°)","","10362.h.62","","","English",""
"002674032","Monograph","Language material ; Text","Volume","","","Northumberland National Park (Northumberland)","","organisation","","Northumberland National Park (Northumberland) [organisation]","Northumberland National Park. Handbook and register of accommodation, etc [With maps and illustrations.]","","","","","Newcastle upon Tyne","Harold Hill","1967","","56 pages (8°)","","X.0809/168","","","English","Later editions, if received, will be placed with this edition"
"002813936","Monograph","Language material ; Text","Volume","","","County Council (Pembroke, County of), County Planning Department","","organisation","","County Council (Pembroke, County of), County Planning Department [organisation]","Pembrokeshire Coast National Park. Official register of accommodation and catering establishments. Issued by the Pembrokeshire County Council County Planning Department, etc [With illustrations and a map.]","","","","England","London","Century Publications","1956","","35 pages (8°)","","010370.k.72","","","English",""
"003362942","Monograph","Language material ; Text","Volume","","","University of Sheffield, Department of Geology","","organisation","","Neves, Roger [person] ; Downie, Charles [person] ; University of Sheffield, Department of Geology [organisation]","Geological excursions in the Sheffield region and the Peak District National Park. Edited by R. Neves and C. Downie","","","","England","Sheffield","J. W. Northend","1967","","xlv, 163 pages, ii plates, illustrations, maps, 22 cm","","X.319/3673","","","English",""
"003362979","Monograph","Language material ; Text","Volume","","","Voluntary Joint Committee for the Peak District National Park (Sheffield)","","organisation","","Voluntary Joint Committee for the Peak District National Park (Sheffield) [organisation]","What price water?","","","","England","Sheffield","","1969","","21 pages, illustrations, 13 x 21 cm","","X.519/40242","","","",""
"003419612","Monograph","Language material ; Text","Volume","","","Smith, John","1749-1831","person","","Smith, John, 1749-1831 [person] ; Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","Twenty views of the Lake District","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire","1791-1795","","20 leaves of plates and four blank end-pages bound into a book, illustrations, 42 x 57 cm (oblong folio)","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","The plates generally in good condition with some foxing"
"003438714","Monograph","Language material ; Text","Volume","","","County Planning Department (Somerset)","","organisation","","County Planning Department (Somerset) [organisation] ; Somersetshire Archaeological and Natural History Society (Somerset) [organisation] ; Somerset Trust for Nature Conservation (Somerset) [organisation]","Countryside trails by car. (Exmoor National Park. European Conservation Year.)","","","","","Taunton","","1970","","20 pages, map, 22 cm","","X.709/25128","","","English","'Written by officers of the Planning Department of the Somerset County Council and members of the Somerset Trust for Nature Conservation and of the Somerset Archaeological and Natural History Society.'"
"003438724","Serial","Language material ; Text","Volume","","","Exmoor National Park Committee (Somerset)","","organisation","","Exmoor National Park Committee (Somerset) [organisation]","Miscellaneous publications","","","","","Taunton","","1967","","","","X.0800/153","","","",""
"003581011","Monograph","Language material ; Text","Volume","","9780901428165","Tarn, John Nelson","","person","","Tarn, John Nelson [person]","The Peak District National Park-its architecture","","","","England","Bakewell","Peak Park Planning Board","1971","","xxiv, 77 pages, plates, illustrations, maps, 15 x 21 cm","","X.410/4449","","","English",""
"003988202","Monograph","Language material ; Text","Volume","","9780713805604","Wyatt, John, Head Warden, Lake District National Park","","person","","Wyatt, John, Head Warden, Lake District National Park [person]","The shining levels. The story of a man who went back to nature. Drawings by Elizabeth Trimby","","","","England","London","Geoffrey Bles","1973","","210 pages, 20 cm","","X.329/6837","","","English",""
"004119002","Monograph","Language material ; Text","Volume","","","Allen, James William","","person","","Haworth, James, of Derby [person] ; Allen, James William [person]","Walking in Derbyshire: a detailed route guide for rambling in the Peak District National Park and adjacent countryside. By J. W. Allen [and others] . 4th ed. Ed. James Haworth","","","","England","Derby","Derbyshire Countryside","1972","","64 pages","","X.700/10138","","","English",""
"004129908","Monograph","Language material ; Text","Volume","","","Somerset Trust for Nature Conservation (Somerset)","","organisation","","Exmoor National Park Committee (Somerset) [organisation] ; Somerset Trust for Nature Conservation (Somerset) [organisation]","Cloutsham nature trail","","","","","","","1972","","22 pages","","X.319/5972","","","English",""
"004812245","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Hassell, J. (John)","1767-1825","person","artist ; printmaker","George, III, King of Great Britain, 1738-1820 [person] ; Hassell, J. (John), 1767-1825, artist ; printmaker [person] ; Jukes, Francis, 1745-1812, publisher [person] ; George, IV, King of Great Britain, 1762-1830 [person]","TURF CUTTING : A View near Cader Idris Merionethshire North Wales","","","","England","London","F. Jukes Howland Street ; Pubd","1798","","1 print, aquatint and etching with hand-colouring, platemark 26 x 35 cm, on sheet 31.5 x 41 cm","704.943642925","Maps K.Top.47.63.2.c","Turf management--Wales--Snowdonia National Park--Pictorial works--Early works to 1800 ; Mountains--Wales--Snowdonia National Park--1790-1800 ; Bodies of water--Wales--Snowdonia National Park--1790-1800 ; Snowdonia National Park (Wales)--Pictorial works--Early works to 1800","Aquatint ; Early works to 1800 ; Etching ; Pictorial work ; Plan or view","English","Titled 'Turf Cutting: a View near Cader-Idris, by J. Hassell, 1798.' in the Catalogue of Maps, Prints, Drawings, etc, forming the geographical and topographical collection attached to the Library of his late Majesty King George the third, etc, London, 1829"
"004828455","Monograph","Cartographic image ; Language material","Sheet","","","","","","","","County of Derby. A Development Plan for the County, excluding those areas within the Peak District National Park. Amendment No. 1 [etc]","","","","England","Matlock","Derbyshire County Council","1960","","(folio)","","Maps 1125. (47.) ; Maps 36.e.7","DERBYSHIRE--Planning ---Maps and charts--1960-","Map","English","Designation maps. Street Authorisation maps. 1 : 2,500 ; Green Belt maps. 1 : 63,360 ; Town map and Programme map, for each Town map area. 1 : 10,560 ; Written Statement and Analysis of Survey, for each town map area and for Green Belts"
"004841342","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Baily, John","active approximately 1798-1820","person","printmaker","Macdonald, Thomas, active 1814-1820, publisher [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Goodwin, Edward, active 1802-1816, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Baily, John, active approximately 1798-1820, printmaker [person]","THE VALE OF FESTINIOG, MERIONETHSHIRE","","","","England","London","1st March ; T. Macdonald 39 Fleet Street","1814","","1 print, aquatint and etching with hand-colouring, sheet 46 x 60.7 cm","704.943642925","Maps K.Top.47.70.b","Snowdonia National Park (Wales)--Pictorial works ; Rivers--Wales--Snowdonia National Park--1810-1820 ; Trees--Wales--Snowdonia National Park--1810-1820 ; Landscapes--Wales--Snowdonia National Park--Pictorial works","Aquatint ; Etching ; Pictorial work ; Plan or view","English","Titled 'View of the Vale of Festiniog, ... by Edwd. Goodwin, engraved by Baily, 1814.' in the Catalogue of Maps, Prints, Drawings, etc, forming the geographical and topographical collection attached to the Library of his late Majesty King George the third, etc, London, 1829"
"004887480","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Mazell, Peter","active 1761-1797","person","printmaker","Cordiner, Charles, approximately 1746-1794, artist [person] ; Tompkins, active 1791, artist [person] ; Mazell, Peter, active 1761-1797, printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; George, III, King of Great Britain, 1738-1820 [person]","MARR LODGE : To the Right Hone the Earl of Fife Lord Viscount Macduff, Baron Braco of the KINGDOM of Ireland and Baron FIFE in the Great Britain F.R.S & A.S. This View of his Lordship's Hunting Seat in Marr Forrest is humbly Dedicated by his Lordship's most obedient Servant Peter Mazell F.S.A","","","","England","London","Peter Mazell Enrgaver No7 Brydges Street Covent Garden ; Publish'd according to Act of Parliament May 25th","1791","","1 print, etching and engraving, platemark 33.5 x 51.9 cm, on sheet 35 x 53.5 cm","704.94364124","Maps K.Top.49.15","Cairngorms National Park (Scotland)--Pictorial works--Early works to 1800 ; Estates--Scotland--Cairngorms National Park--1790-1800 ; Houses--Scotland--Cairngorms National Park--1790-1800 ; Landscapes--Scotland--Cairngorms National Park--Pictorial works--Early works to 1800 ; Rivers--Scotland--Cairngorms National Park--1790-1800","Early works to 1800 ; Engraving ; Etching ; Pictorial work ; Plan or view","English","Titled 'A View of Marr Lodge, the Hunting Seat of the Earl of Fife in Marr Forest, engraved by Peter Mazell, from a drawing by Cordiner after Tompkins, 1791.' in the Catalogue of Maps, Prints, Drawings, etc, forming the geographical and topographical collection attached to the Library of his late Majesty King George the third, etc, London, 1829"
"004909514","Monograph","Cartographic image ; Language material","Volume","","","","","","","","Town and Country Planning Act 1947. National Parks and Access to the Countryside Act 1949. Peak District National Park Development Plan. Report and analysis of survey","","","","England","Bakewell","","1955","","119 pages (folio)","","Maps 1125. (48.) ; Maps 34.b.94 ; Maps 34.c.35","PEAK, Derbyshire (Environs)--Planning ---Maps and charts--1955","Map","",""
"004923499","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Havell, Robert","1769-1832","person","printmaker","R. Havell & Son, printmaker [organisation] ; Havell, Robert, 1769-1832, printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Walmsley, Thomas, 1763-1805 or 1806, artist [person] ; Havell, Daniel, -approximately 1826, printmaker [person]","MISCELLANEOUS BRITISH SCENERY. No 2nd Plate 4th. St David's Head S.W. = PAЇSAGES ANGLAIS. No2nd, Planche 4me. Vuê de la Pointe de St David","","","","England","London","James Daniell Engraver 480 Strand ; Londrés chez James Daniell Graveur 480 Strand","1810","","1 print, aquatint and etching with hand-colouring, sheet 45.7 x 60.7 cm","704.943642962","Maps K.Top.47.85.g","Bodies of water--Wales--Pembrokeshire Coast National Park--1810-1820 ; Boats--Wales--Pembrokeshire Coast National Park--Pictorial works ; Pembrokeshire Coast National Park (Wales)--Pictorial works ; Rocks--Wales--Pembrokeshire Coast National Park--1810-1820","Aquatint ; Etching ; Pictorial work ; Plan or view","English","Titled 'S.W. View of Saint David's Head, by Walmsley, engraved by R. and D. Havell, 1810.' in the Catalogue of Maps, Prints, Drawings, etc, forming the geographical and topographical collection attached to the Library of his late Majesty King George the third, etc, London, 1829"
"004974416","Monograph","Cartographic image ; Cartographic material","Volume","","","","","","","","Ordnance Survey of Great Britain. Snowdonia National Park. District map","","","","England","Chessington","Ordnance Survey","1966","","76 x 91 cm","","Maps 6440. (4.)","SNOWDONIA NATIONAL PARK, Wales ---Maps and charts--1966","Map","","Other edition: Ordnance Survey of Great Britain. Snowdonia National Park. District map. 1968 ; Other edition: Ordnance Survey of Great Britain. Snowdonia National Park. District map. 1972"
"004974417","Monograph","Cartographic image ; Cartographic material","Volume","","","","","","","","Ordnance Survey of Great Britain. Snowdonia National Park. District map","","","","England","","","1968","Another edition","","","Maps 6440. (5.)","SNOWDONIA NATIONAL PARK, Wales ---Maps and charts--1966 (1968)","Map","",""
"004974418","Monograph","Cartographic image ; Cartographic material","Volume","","","","","","","","Ordnance Survey of Great Britain. Snowdonia National Park. District map","","","","England","","","1972","Another edition, Reprinted with the addition of new major roads and tourist information","","","Maps 6440. (7.)","SNOWDONIA NATIONAL PARK, Wales ---Maps and charts--1966 (1972)","Map","",""
"004976743","Monograph","Cartographic image ; Cartographic material","Volume","","","","","","","","Ordnance Survey of Great Britain. North York Moors. Tourist map. Second edition","","","","England","Chessington","Ordnance Survey","1966","","102 x 75 cm","","Maps 5911. (6.)","YORKSHIRE, North Riding ---Maps and charts--1966","Map","","Showing public rights of way and boundaries of North York Moors National Park"
"004976744","Monograph","Cartographic image ; Cartographic material","Volume","","","","","","","","Ordnance Survey of Great Britain. One inch to one mile tourist map. North York Moors. Major roads revised 1970","","","","England","Southampton","Ordnance Survey","1970","","","","Maps 5911. (7.)","YORKSHIRE, North Riding ---Maps and charts--1970","Map","","First edition published 1958 ; Showing public rights of way and boundaries of North York Moors National Park"
"004988503","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","Ordnance Survey touring map & guide to Snowdonia and North Wales = Eryri a Gogledd Cymru","","","","England","Southampton","Ordnance Survey","1994","","1 map, colour, illustrations","","Maps X.3776","Snowdonia National Park--Tourism ---maps and charts--1990 (1994) ; North Wales--Tourism ---maps and charts--1990 (1994)","Map","English ; French ; German ; Welsh","Earlier edition: 1990"
"004988628","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","Brecon Beacons National Park, eastern area = Parc Cenedlaethol Bannau Brycheiniog, ardal ddwyreiniol","","Ordnance Survey outdoor leisure map","13 [Ordnance Survey outdoor leisure map]","England","Southampton","Ordnance Survey","1996","Edition A","1 map, both sides, colour","","Maps X.3881","Brecon Beacons--Recreation ---maps and charts--1996","Map","English ; French ; German ; Welsh","Includes duplicate with cover ; Panel title"
"004988629","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","Brecon Beacons National Park, west and central areas = Parc Cenedlaethol Bannau Brycheiniog, ardaloedd gorllewinol a chanolog","","Ordnance Survey outdoor leisure map","12 [Ordnance Survey outdoor leisure map]","England","Southampton","Ordnance Survey","1996","Edition A","1 map, both sides, colour","","Maps X.3878","Brecon Beacons--Recreation ---maps and charts--1996","Map","English ; French ; German ; Welsh","Includes duplicate with cover ; Panel title"
"004988630","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","Snowdonia, Snowdon & Conwy Valley = Eryri, Yr Wyddfa a Dyffryn Conwy","","Ordnance Survey outdoor leisure map","17 [Ordnance Survey outdoor leisure map]","England","Southampton","Ordnance Survey","1996","Edition A1","1 map, both sides, colour","","Maps X.3879","Snowdonia National Park--Recreation ---maps and charts--1996","Map","English ; French ; German ; Welsh","Panel title"
"004988643","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","Snowdonia, Harlech & Bala areas","","Ordnance Survey outdoor leisure map","18 [Ordnance Survey outdoor leisure map]","England","Southampton","Ordnance Survey","1994","Edition B2","1 map, both sides, colour","","Maps X.3866","Snowdonia National Park--Recreation ---maps and charts--1994","Map","English ; French ; German ; Welsh","Panel title"
"004989133","Monograph","Language material ; Text","Volume","","9780906421338","","","","","","Lake District National Park caravan and tent guide, Cumbria and the Lake District","","","","England","Kendal","Lake District National Park","1994","","56 pages, 22 cm","","Maps 223.a.5","Lake District, Cumbria--Tourism--literature--1994","","English ; French ; German",""
"004991170","Monograph","Cartographic image ; Cartographic material","Sheet","","","Outstanding Map Company","","organisation","","Outstanding Map Company [organisation]","The outstanding map of the Lake District National Park","","The National Parks of England & Wales","","England","Carnforth, Lancashire","Outstanding Map","1999","2nd edition","1 map, colour","","Maps X.5003","Lake District, Cumbria--Tourism ---maps--1996 (1999)","Map","English","3D-effect hill shading"
"004991177","Monograph","Cartographic image ; Cartographic material","Sheet","","","Outstanding Map Company","","organisation","","Outstanding Map Company [organisation]","The outstanding map of the Peak District National Park","","The National Parks of England & Wales","","England","Carnforth, Lancashire","Outstanding Map","1999","","1 map, colour","","Maps X.5004","Peak, Derbyshire--Tourism ---maps--1999","Map","English","3D-effect hill shading"
"004991374","Monograph","Cartographic image ; Cartographic material","Sheet","","","Harvey Map Services","","organisation","","Harvey Map Services [organisation]","Snowdonia North = Gogledd Eryri","","Superwalker","","Scotland","Doune, Perthshire","Harvey Map Services","1994","","1 map, colour","","Maps 220.a.478 ; Maps X.5120","Snowdonia National Park--Recreation ---maps--1994 ; Snowdonia National Park--Footpaths ---maps--1994","Map","English ; Welsh","Printed on waterproof paper ; Second copy folded in plastic cover with separate notes"
"004991462","Monograph","Cartographic image ; Cartographic material","Sheet","","","Harvey Map Services","","organisation","","Harvey Map Services [organisation]","Snowdonia West = Gorllewin Eryri","","Superwalker","","Scotland","Doune, Perthshire","Harvey Map Services","1993","","1 map, colour","","Maps 220.a.480 ; Maps X.5159","Snowdonia National Park--Recreation ---maps--1993 ; Snowdonia National Park--Footpaths ---maps--1993","Map","English ; Welsh","Printed on waterproof paper ; Visitor guide at separate pressmark"
"004991463","Monograph","Cartographic image ; Cartographic material","Sheet","","","Harvey Map Services","","organisation","","Harvey Map Services [organisation]","Snowdonia South = De Eryri","","Superwalker","","Scotland","Doune, Perthshire","Harvey Map Services","1992","","1 map, colour","","Maps 220.a.479 ; Maps X.5160","Snowdonia National Park--Footpaths ---maps--1992 ; Snowdonia National Park--Recreation ---maps--1992","Map","English ; Welsh","Printed on waterproof paper ; Visitor guide at separate pressmark"
"004993130","Monograph","Cartographic image ; Cartographic material","Sheet","","","Brecon Beacons National Park Committee","","organisation","","Brecon Beacons National Park Committee [organisation]","Brecon Beacons National Park","","","","Wales","Brecon","Brecon Beacons National Park Committee","1992","","1 map, colour","","Maps X.5783","Brecon Beacons--Tourism ---maps--1992","Map","English",""
"004993857","Monograph","Cartographic image ; Cartographic material","Sheet","","","Outstanding Map Company","","organisation","","Outstanding Map Company [organisation]","The outstanding map of the Lake District National Park","","The National Parks of England & Wales","","England","Carnforth, Lancashire","Outstanding Map","1996","","1 map, both sides, colour","","Maps X.6068","Lake District, Cumbria--Tourism ---maps--1996","Map","English","3D-effect hill shading"
"004993872","Monograph","Cartographic image ; Cartographic material","Sheet","","","Contour Designs (Firm)","","organisation","","Gage, K. G. [person] ; Contour Designs (Firm) [organisation] ; Gage, S. [person]","Dartmoor National Park","","Panoramic map","24 [Panoramic map]","England","Gloucester","Contour Designs","1991","1st edition","1 map, colour","","Maps X.6071","Dartmoor ---Maps--1991","Map","English","A bird's-eye view"
