"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"30 walks in the Abergavenny area","","012687443","Monograph","Language material ; Text","Volume","GB7620224","9780905293011","Brecon Beacons National Park Committee","","organisation","","Brecon Beacons National Park Committee [organisation]","","","Wales","Brecon ; Glamorgan Street, Brecon, Powys","Committee","1976","","16 pages, 23 x 10 cm","914.2998","BS.116/109","Walking ; Abergavenny Region (Wales)--Description and travel--Guidebooks ; Gwent--Abergavenny region--Walkers' guides","","English",""
"30 walks in the Brecon Beacons and South Wales","Brecon Beacons & South Wales ; Thirty walks in the Brecon Beacons & South Wales","015682301","Monograph","Language material ; Text","Volume","GBB1C2536","9780749564308","","","","","Automobile Association (Great Britain) [organisation]","","","England","","Automobile Association","2010","","1 pack, colour illustrations, colour maps, 17 x 12 x 3 cm","796.51094296","Cup.935/1623","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Walking--Wales, South--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","'Walks of 2 to 10 miles' - back of case ; 31 cards in plastic wallet, held in case ; Title from front of case"
"40 classic walks in the Brecon Beacons National Park","Forty classic walks in the Brecon Beacons National Park","015355556","Monograph","Language material ; Text","Volume","GBA983527","9781872730394","Barber, Chris","1941-","person","","Barber, Chris, 1941- [person]","","","Wales","Abergavenny","Blorenge","2009","Revised edition","212 pages, colour illustrations, portraits, maps, 21 cm","914.29560486","YK.2010.a.26193","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English",""
"40 short circular walks in the Peak District","Forty short circular walks in the Peak District","012483291","Monograph","Language material ; Text","Volume","GB9318663","","Merrill, John N.","1943-","person","","Merrill, John N., 1943- [person]","","","England","Matlock","J. N. M. Publications","1992","","1 volume, illustrations, maps, 21 cm","914.251104859","YK.1994.a.16057","Derbyshire (England) ; Peak District National Park (England)--Guide-books ; Walking--England--Peak District National Park--Guide-books ; Travel","","English",""
"50 walks in Brecon Beacons & South Wales : 50 walks of 2-10 miles","Fifty walks in Brecon Beacons & South Wales","015175216","Monograph","Language material ; Text","Volume","GBA944835","9780749562861","Hutton, Tom","","person","","Hutton, Tom [person]","","","England","Basingstoke","","2009","Updated edition","144 pages, illustrations (chiefly colour), colour maps, 22 cm","796.5109424","YK.2011.a.3047","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Walking--Wales, South--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","Previous edition: 2003"
"50 walks in Brecon Beacons & South Wales : 50 walks of 2-10 miles","Fifty walks in Brecon Beacons & South Wales","016433779","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB355005","9780749574802 ; 9780749575069","Hutton, Tom","","person","author","Hutton, Tom, author [person] ; Wills, Dixe, author [person]","","","England","Basingstoke, Hampshire","AA Publishing","2013","New edition, field checked and updated by Dixe Wills","157 pages, colour illustrations, colour maps, 22 cm","796.5109424","YK.2013.a.25284","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Walking--Wales, South--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English",""
"6 walks around Tideswell Dale","","007446480","Monograph","Language material ; Text","Volume","GB8442207","9780907543268","Hurst, Ian","","person","","Peak Park Joint Planning Board [organisation] ; Hurst, Ian [person]","A Peak National Park guide","","England","Bakewell","Peak Park Joint Planning Board","1984","","16 pages, illustrations (some colour), 1 colour map, 23 cm","796.510942511","X.809/61502","Peak District National Park (England)--Guide-books ; England--Peak District--National parks--Peak National Park--Recreations--Walking ; Walking--England--Peak District National Park--Guide-books","","English",""
"8 walks around Edale","","007446477","Monograph","Language material ; Text","Volume","GB8823167","9780907543077","Miller, Denise","","person","","Miller, Gordon, Park Ranger [person] ; Peak Park Joint Planning Board [organisation] ; Miller, Denise [person]","A Peak National Park guide","","England","Bakewell","Peak Park Joint Planning Board","1987","","20 pages (1 folded), illustrations (some colour), 1 colour map, 23 cm","796.510942511","OP-LG/4775 ; YC.1988.a.3102","Peak District National Park (England)--Guide-books ; England--Peak District--National parks--Peak National Park--Recreations--Walking ; Walking--England--Peak District National Park--Guide-books","","English",""
"8 walks around the Derwent dams","Eight walks around the Derwent dams","015438855","Monograph","Language material ; Text","Volume","GBA9C0451","9780907543343","","","","","Peak District National Park Authority [organisation]","","","England","Bakewell","Peak District National Park Authority","2001","","25 pages, colour illustrations, 23 cm","796.510942511","YK.2010.a.9338","Walking--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","Text on inside cover"
"80 Dales walks : a comprehensive walking guide to the Yorkshire Dales","","012680875","Monograph","Language material ; Text","Volume","GB8938604","9780904405996","Hannon, Paul","1957-","person","","Hannon, Paul, 1957- [person]","","","England","Leicester","Cordee","1989","","296 pages, 16 pages of plates, illustrations (some colour), maps, 19 cm","914.28404858","YC.1989.a.11529","North Yorkshire--National parks--Yorkshire Dales National Park ; Yorkshire Dales National Park (England)--Guide-books","","English",""
"A Broads-eye view : the Norfolk Broads through aerial photography","","013130480","Monograph","Language material ; Text","Volume","GBA521295","9781841144474","Page, Mike","1940-","person","","Page, Mike, 1940- [person]","","","England","Tiverton","Halsgrove","2005","","128 pages, colour illustrations, 1 map, 22 cm","942.6170223","LC.31.a.2387","Broads, The (England)--Aerial photographs ; Landscape--England--Norfolk--Pictorial works","Aerial photograph ; Pictorial work","English",""
"A Classification and evaluation of broadleaved woodlands in the Northumberland National Park","","011000892","Monograph","Language material ; Text","Volume","GB8211948","","","","","","Northumberland (England), National Park and Countryside Committee [organisation]","Occasional paper / Northumberland National Park and Countryside Committee","number 2 [Occasional paper / Northumberland National Park and Countryside Committee]","England","Hexham","Northumberland National Park & Countryside Committee","1981","","90 pages, illustrations, maps, 30 cm","582.16094288","","Northumberland--National parks--Northumberland National Park--Broad-leaved woodlands--Statistics ; Forests and forestry--England--Northumberland National Park--Statistics ; Northumberland National Park (England)","","English",""
"A Dales album : a pictorial history of the Yorkshire Dales","","007391861","Monograph","Language material ; Text","Volume","GB9102432","9780460860239","Hartley, Marie","","person","","Ingilby, Joan [person] ; Hartley, Marie [person]","","","England","London","Dent","1991","","192 pages, illustrations, 25 cm","942.84","YK.1991.b.1834","Yorkshire Dales National Park (England)--History ; North Yorkshire (England)--History","","English","Includes index"
"A Guide to policies affecting the Peak District National Park","","007446475","Monograph","Language material ; Text","Volume","GB8235117","9780907543008","","","","","Peak Park Joint Planning Board [organisation]","A Peak National Park planning publication","","England","Bakewell","Peak Park Joint Planning Board","1982","2nd edition","40 pages, illustrations, maps, 30 cm","719.320942511","BS.116/191 ; f83/0207 ; f83/3587 ; f83/4130","England--Peak District--National parks--Peak National Park ; Peak District National Park (England)","","English","Previous edition: 197-?"
"A Guide to policies affecting the Peak District National Park","","008933915","Monograph","Language material ; Text","Volume","","9780907543008","Peak Park Joint Planning Board","","organisation","","Peak Park Joint Planning Board [organisation]","","","","","Peak Park Joint Planning Board","","2nd edition","","","f83/3587","","","English",""
"A Look at Brecon","","007739347","Monograph","Language material ; Text","Volume","GB8959139","","","","","","Brecon Beacons National Park Committee [organisation]","","","Wales","","Brecon Beacons National Park Committee","1985","","1 sheet","796.510942956","","Powys--Brecon--Recreations--Walking ; Brecon (Wales)--Description--Guidebooks ; Walking--Wales--Brecon","Guidebook","English",""
"A Look at Crickhowell, Powys","","011826980","Monograph","Language material ; Text","Volume","GB9011311","","","","","","Brecon Beacons National Park Committee [organisation]","","","Wales","","Brecon Beacons National Park Committee","1986","","1 sheet","914.2956","YC.1990.a.3072","Powys--Crickhowell","","English",""
"A Motorway : Sheffield to Manchester through Longdendale in the Peak District National Park (An appeal to help to avert it)","","012830846","Monograph","Language material ; Text","Volume","","9780950042213","Voluntary Joint Committee for the Peak National Park","","organisation","","Voluntary Joint Committee for the Peak National Park [organisation]","","","","","Voluntary Joint Committee for Peak National Park","","","","","75/23507","","","English",""
"A South Downs National Park : local authority consultation","","006614551","Monographic component part","Language material ; Text","Volume","","9780861706808","Great Britain, Countryside Agency","","organisation","","Great Britain, Countryside Agency [organisation]","","","","","Great Britain, Countryside Agency","2002","","","","3482.027000","","","English",""
"A South Downs national park.\Local Authority consultation","","011543956","Monograph","Language material ; Text","Volume","","9780861706808","","","","","","","","","","Countryside Agency","2002","May","","","","","","English",""
"A Z adventure Snowdonia","AZ adventure Snowdonia : including part of Snowdonia National Park ; Snowdonia","016080408","Monograph","Cartographic image ; Cartographic material","Volume","","9781843488538","Geographers' A-Z. Map Company","","organisation","","Geographers' A-Z. Map Company [organisation]","","","England","Sevenoaks, Kent","Geographers' A-Z Map","2012","EDITION 1 2012","1 atla (77 pages), colour illustrations, colour maps, 24 cm","912.42925","Maps 254.a.67","Hiking--Wales--Snowdonia--Maps ; Snowdonia National Park (Wales)--Maps ; Snowdonia (Wales)--Maps ; Hiking--Wales--Snowdonia National Park--Maps","Map","English","'Mapping sourced from Ordnance Survey'--Cover ; Includes index"
"A basic guide for owners and occupiers","","014509779","Monograph","Language material ; Text","Volume","","","","","","","","Listed buildings","","","","New Forest National Park Authority","2006","","","","","","","English",""
"A beautiful highland place : an introduction to the wild and beautiful landscape of the College Valley with four hillfort heritage trails","","007447486","Monograph","Language material ; Text","Volume","GBA377469","9780907632399","","","","","Northumberland National Park Authority [organisation]","","","England","Hexham","Northumberland National Park Authority","2002","","28 pages, illustrations (some colour), maps, 1 portrait, 21 cm","914.2880486","YK.2003.a.23790","Northumberland (England)--Guidebooks ; Walking--England--Northumberland--Guidebooks","Guidebook","English","Cover title"
"A book always open_","","009488614","Monograph","Language material ; Text","Volume","GBA250572","9780953478514","Powls, John","","person","","Powls, John [person]","","","England","Reading","Poetry@MMD","2002","","34 pages, 21 cm, paperback","821.914","YK.2002.a.15160","Dartmoor National Park (England)--Poetry","Poetry or verse","English","'A narrative poem for Dartmoor National Park's 50th anniversary, 1951-2001'_Cover"
"A boot up the Brecon Beacons","","014647887","Monograph","Language material ; Text","Volume","GBA878842","9781841147444","Hutton, Tom","","person","","Hutton, Tom [person]","","","England","Wellington","Halsgrove","2008","","1 volume, colour illustrations, colour maps, 11 x 16 cm","914.2956","","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English",""
"A boot up the Norfolk Broads. Book one","","015738997","Monograph","Language material ; Text","Volume","GBB112268","9780857100177","Rothe, Tony","","person","","Rothe, Tony [person]","10 leisure walks of discovery","","England","Wellington","Pixz","2011","","64 pages, colour illustrations, 12 x 16 cm","914.26170486","YK.2012.a.177","Broads, The (England)--Guidebooks ; Walking--England--Norfolk--Guidebooks","Guidebook","English",""
"A broad experience : diary of a Norfolk Broads hire fleet at the turn of the century, 1999-2006","","015742147","Monograph","Language material ; Text","Volume","GBB200443","9780903094252","Godber, Robin","","person","","Godber, Robin [person]","","","England","Gorleston on Sea","Hamilton Publications","2010","","288 pages, illustrations (some colour), colour maps, 22 cm","797.120942617","YK.2011.a.33732","Sailing--England--Broads, The ; Godber, Robin--Diaries ; Broads, The (England)--Description and travel ; Sailors--England--Biography","Biography ; Diary","English",""
"A broads-eye view 2 : more aerial photographs of the Norfolk and Suffolk Broads","","014500559","Monograph","Language material ; Text","Volume","GBA809186","9781841147048","Page, Mike","1940-","person","","Young, Pauline [person] ; Page, Mike, 1940- [person]","","","England","Wellington","Halsgrove","2008","","144 pages, colour illustrations, 23 cm","942.61700223","LC.31.a.7743","Broads, The (England)--Aerial photographs","Aerial photograph","English",""
"A celebration of Pembrokeshire : Britain's only coastal national park = Sir Benfro : yr unig barc cenedlaethol arfordirol ym Mhrydain","Sir Benfro : yr unig barc cenedlaethol arfordirol ym Mhrydain","011621829","Monograph","Language material ; Text","Volume","GBA071980","9780953835201","","","","","","","","Wales","Angle","Celtic Horizons","2000","","40 pages, colour illustrations, map, 21 x 25 cm","","","Pembrokeshire (Wales)--Description and travel ; Pembrokeshire Coast National Park Authority","","English","Testun a llun tu fewn i'r cloriau = Text and illustrations on inside covers"
"A classification and evaluation of the broadleaved woodlands in the Northumberland National Park","","012116548","Monograph","Language material ; Text","Volume","","","Macdonald, A. A.","","person","","Macdonald, A. A. [person]","Occasional paper / Northumberland National Park and Countryside Committee","number 2 [Occasional paper / Northumberland National Park and Countryside Committee]","England","Hexham","","1981","","90 pages, 30 cm","","CQ 52","","","English",""
"A critical examination of the landscape implications of mobile telecommunications development in the Peak District National Park, UK","","013731378","Monograph","Language material ; Text","Online resource","","","Park, Jung Jin","","person","","Park, Jung Jin [person] ; University of Sheffield [organisation]","","","England","Sheffield","University of Sheffield","2006","","1 volume, 31 cm","333.783140942511","434518","","","English",""
"A development plan for the county, 1951. Analysis of survey including those areas within the Peak District National Park","","007653583","Monograph","Language material ; Text","Volume","GB5213878","","Derbyshire (England), County Planning Committee","","organisation","","Derbyshire (England), County Planning Committee [organisation]","","","United Kingdom","","County Planning Officer","1952","","98 pages, illustrations, 33 cm","711.3094251","","","","English",""
"A development plan for the county, 1951. Written statement excluding those areas within the Peak District National Park","","007653586","Monograph","Language material ; Text","Volume","GB5213881","","Derbyshire (England), County Planning Committee","","organisation","","Derbyshire (England), County Planning Committee [organisation]","","","United Kingdom","","Derby County Planning Officer","1952","","19 pages, 33 cm","711.3094251","","","","English",""
"A draft plan for the future : looking to 2030","","013461171","Monograph","Language material ; Text","Volume","","","","","","","Cairngorms National Park Authority [organisation]","","","Scotland","Grantown on Spey","Cairngorms National Park","2006","","76 pages, colour illustrations, colour map, colour portraits, 30 cm","333.783094124","m06/.21244","","","English ; Gaelic","Title from cover"
"A draft plan for the future : looking to 2030","Cairngorms National Park","013463226","Monograph","Language material ; Text","Volume","GBA645656","","","","","","Cairngorms National Park Authority [organisation]","","","Scotland","Grantown-on-Spey","Cairngorms National Park Authority","2006","","76 pages, colour illustrations, colour portraits, 30 cm","","","National parks and reserves--Scotland--Cairngorms--Management ; National parks and reserves--Scotland--Cairngorms--Planning","","English","Cover title"
"A draft plan for the future : priorities for action 2007-2012","","013461259","Monograph","Language material ; Text","Volume","","","","","","","Cairngorms National Park Authority [organisation]","","","Scotland","Grantown on Spey","Cairngorms National Park","2006","","32 pages, colour illustrations, colour map, colour portraits, 30 cm","333.783094124","m06/.21246","","","English ; Gaelic","Title from cover"
"A draft plan for the future : priorities for action 2007-2012","Cairngorms National Park","013463227","Monograph","Language material ; Text","Volume","GBA645657","","","","","","Cairngorms National Park Authority [organisation]","","","Scotland","Grantown-on-Spey","Cairngorms National Park Authority","2006","","32 pages, colour illustrations, 1 colour portraits, 30 cm","","","National parks and reserves--Scotland--Cairngorms--Management ; National parks and reserves--Scotland--Cairngorms--Planning","","English","Cover title"
"A draft plan for the future : strategic environmental assessment : environmental report","","013461244","Monograph","Language material ; Text","Volume","","","","","","","Cairngorms National Park Authority [organisation]","","","Scotland","Grantown on Spey","Cairngorms National Park","2006","","52 pages, maps, 30 cm","333.783094124","m06/.21243","","","English","Title from cover"
"A draft plan for the future : strategic environmental assessment : environmental report","Cairngorms National Park","013463225","Monograph","Language material ; Text","Volume","GBA645655","","","","","","Cairngorms National Park Authority [organisation]","","","Scotland","Grantown-on-Spey","Cairngorms National Park Authority","2006","","52 pages, maps, 30 cm","","","National parks and reserves--Scotland--Cairngorms--Management ; National parks and reserves--Scotland--Cairngorms--Planning ; Strategic planning--Environmental aspects--Scotland--Cairngorms","","English","Cover title"
"A dream come true : the life and times of a Lake District National Park ranger","","010125457","Monograph","Language material ; Text","Volume","GBA279622","9780954071158","Birkett, David","","person","","Birkett, David [person]","","","England","Kirkby Stephen","Hayloft Publishing","2002","","139 pages, illustrations (some colour), maps, portraits, 21 cm","","YK.2003.a.4822","Lake District National Park (England) ; Birkett, David ; Mountains--England--Lake District--Recreational use ; Park rangers--England--Lake District--Biography","Biography","English",""
"A field guide to Exmoor's early iron industry","","015604794","Monograph","Language material ; Text","Volume","GBB163548","9780956367419","","","","","Exmoor National Park Authority [organisation]","","","England","Dulverton","Exmoor National Park Authority","2010","","47 pages, illustrations, maps, 21 cm","338.2730942385","YK.2011.a.12423","Exmoor (England)--Antiquities ; Iron industry and trade--England--Exmoor--History","","English","Title from cover"
"A field guide to the Royal Forest of Exmoor","","016451462","Monograph","Language material ; Text","Volume","GBB443972","9780956367426","Siraut, Mary","","person","author","Wilson-North, Robert, editor ; illustrator [person] ; Balmond, Faye, editor ; illustrator [person] ; Sully, Matt, illustrator [person] ; Exmoor National Park Authority [organisation] ; Bray, Lee, illustrator [person] ; Siraut, Mary, author [person] ; Ball, Jason, illustrator [person]","","","England","Dulverton, Somerset","Exmoor National Park Authority","2013","","35 pages, colour illustrations, maps (black and white and colour), 22 cm","914.2385","YK.2014.a.11017","Exmoor National Park (England)","","English","Title from cover"
"A fourth survey of land holdings in the Cairngorms area","","009638411","Monograph","Language material ; Text","Volume","","","","","","","","","","","","Cairngorms National Park Authority","2003","","","","","","","English",""
"A fourth survey of land holdings in the Cairngorms area","Cairngorms estates : a fourth survey of land holdings in the Cairngorms area","009919942","Monograph","Language material ; Text","Volume","GBA374400","","","","","","Cairngorms National Park Authority [organisation]","","","Scotland","Grantown-on-Spey","Cairngorms National Park Authority","2003","","15 pages, illustrations, map, 30 cm","","YK.2003.b.8438","Land tenure--Scotland--Cairngorms ; Cairngorms (Scotland)--Surveys","","English","Caption title ; Cover title: Cairngorms estates"
"A fragile environment? : for teachers, highlighting some issues relating to the environment of the Lake District National Park","","007438758","Monograph","Language material ; Text","Volume","GB9006144","9780906421109","Bingham, Heather","","person","","Lake District National Park Authority [organisation] ; Cumbria (England), Education Department [organisation] ; Bingham, Heather [person] ; Ramage, Rosalind [person]","GCSE resource guide","4 [GCSE resource guide]","England","Windermere","Cumbria Education Department ; Lake District National Park Authority","1990","","80 pages, illustrations, maps, 30 cm","333.783094278","YK.1990.b.9390","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park","","English","At head of title: Lake District National Park ; Includes index"
"A fragile environment?","The Lake District National Park : a fragile environment?","011039450","Monograph","Language material ; Text","Volume","","9780906421109","Bingham, Heather","","person","","Bingham, Heather [person] ; Ramage, Rosalind [person]","GCSE resource guide","4 [GCSE resource guide]","England","Windermere","Lake District Park Authority","1990","","","","q90/21761","","","English",""
"A framework for land use planning in moorland areas : pilot survey in the Peak District National Park","","011985561","Monograph","Language material ; Text","Volume","GB8139708","9780704403550","Parry, M. L. (Martin Lewis)","1945-","person","","Parry, M. L. (Martin Lewis), 1945- [person]","Occasional publication / Department of Geography, University of Birmingham","number 4 [Occasional publication / Department of Geography, University of Birmingham]","England","Birmingham","Department of Geography, University of Birmingham","1977","","23 pages, 17 pages of plates, illustrations, maps, 30 cm","333.780942511 ; 333.783130942511","X.805/1971","England--Peak District--National parks--Peak National Park--Heathland--Land use--Planning ; Moors and heaths--England ; Land use, Rural--England--Peak District National Park--Planning ; Moors and heaths--England--Peak District National Park ; Land use, Rural--England--Planning ; Peak District National Park (England)","","English",""
"A glimpse of Dartmoor ponies","","008158233","Monograph","Language material ; Text","Volume","GB9422893","9781872640242","","","","","Dartmoor National Park Authority [organisation] ; Dartmoor Pony Society [organisation]","","","England","Newton Abbot","Peninsula","1993","","40 pages","636.160942353","YK.1994.a.8703","Ponies ; Devon (England)","","English",""
"A guide to the Authority s Services","","008971943","Monograph","Language material ; Text","Volume","","","Peak District National Park Authority","","organisation","","Peak District National Park Authority [organisation]","","","","","Peak District National Park Authority","","","","","","","","",""
"A guide to the Authority's services","Service guide","009907505","Monograph","Language material ; Text","Volume","GBA034320","","Peak District National Park Authority","","organisation","","Peak District National Park Authority [organisation]","","","England","","Peak District National Park Authority","1999","","19 pages, colour illustrations, 22 cm","353.7806942511","YD.2004.a.1176","Peak District National Park Authority","","English","Cover title ; Running title: Service guide"
"A guide to the archaeology of Dartmoor","","010116630","Monograph","Language material ; Text","Volume","GB9749967","9780861149049","","","","","Dartmoor National Park Authority [organisation]","","","England","Bovey Tracey","Dartmoor National Park Authority","1996","","64 pages, illustrations, 21 cm","936.2353","YK.1997.a.6198","Dartmoor (England)--Antiquities","","English","bibliography: p60. _ Includes index"
"A guide to the archaeology of Dartmoor","","010766028","Monograph","Language material ; Text","Volume","GBA327445","9781841142265","","","","","Dartmoor National Park Authority [organisation]","","","England","Bovey Tracey","Dartmoor National Park Authority","2003","Revised","64 pages, illustrations, 22 cm","","YC.2003.a.10582","Dartmoor (England)--Antiquities","","English",""
"A guide to the policies affecting the Peak District National Park","","007081287","Monograph","Language material ; Text","Volume","","9780907543213","","","","","Youatt, John, editor [person] ; Peak Park Joint Planning Board [organisation]","A Peak National Park planning publication","","England","Bakewell","Peak Park Joint Planning Board","1983","3rd edition","","","85/20576","","","English",""
"A high-resolution palaeoecological study of land use change during late prehistory on Exmoor","","019965464","Monograph","Language material ; Text","Online resource","","","Ombashi, Havananda","","person","author","Ombashi, Havananda, author [person] ; University of Plymouth [organisation]","","","United Kingdom","","University of Plymouth","2020","","1 online resource","","813719","","","English",""
"A history of Goathland : the story of a moorland community","","007445845","Monograph","Language material ; Text","Volume","GB9131063","9780907480266","Hollings, Alice","1892-","person","","Hollings, Alice, 1892- [person]","","","England","Helmsley","North York Moors National Park","1990","Revised","116 pages, illustrations, maps, portraits, 21 cm","942.847","YK.1991.a.10977","North Yorkshire (England) ; Social life--History","","English","Previous edition: 1971"
"A history of Hulton-le-Hole in the Manor of Spaunton","","011283592","Monograph","Language material ; Text","Volume","","","Hayes, Raymond H.","","person","","Hurst, Joseph [person] ; Hayes, Raymond H. [person]","","","England","Helmsley","North York Moors National Park","1982","Revised edition","64 pages","","YA.1994.a.17887","","","English",""
"A history of Hutton le Hole in the manor of Spaunton","","010397011","Monograph","Language material ; Text","Volume","","","Hayes, R. H. (Raymond Harland)","","person","","Hurst, Joseph [person] ; Hayes, R. H. (Raymond Harland) [person] ; North York Moors National Park [organisation]","","","England","","North York Moors National Park","1982","Revised edition","","","84/17458","","","English",""
"A history of Robin Hood's Bay : the story of a Yorkshire community","","007445844","Monograph","Language material ; Text","Volume","GB9154011","9780907480228","Farnill, Barrie","","person","","Farnill, Barrie [person] ; North York Moors National Park [organisation]","","","England","Helmsley","North York Moors National Park","1990","Revised and reprinted edition","108 pages, illustrations, 1 portrait, 21 cm","942.846","YK.1992.a.7170","North Yorkshire (England)--History, 1714-","","English","Previous edition: 1966"
"A history of Rosedale : the story of Yorkshire's most beautiful dale","","007092099","Monograph","Language material ; Text","Volume","","9780907480105","Hayes, Raymond H.","","person","","North York Moors National Park Department [organisation] ; Hayes, Raymond H. [person]","","","","Helmsley","North York Moors National Park Department","1985","3rd edition","","","86/04313","","","English",""
"A living landscape : a biodiversity action plan for the Peak District. Action plan","","007028463","Monograph","Language material ; Text","Volume","GBA264732","","","","","","Peak District National Park Authority [organisation]","","","England","Bakewell","Peak District National Park Authority","2001","","1 volume (various pagings), illustrations (some colour), maps (some colour), 32 cm","","","Peak District National Park (England) ; National parks and reserves--England--Planning","","English","In ring binder"
